StateTerr,HAI,Year,State_NHSN_Mandate,FAC_TYPE,Num_Facilities_Reporting,Observed_Infections,Predicted_Infections,Standardized_Infection_Ratio,Facilities_Atleast_1_Predicted_HAI,PCT_Hospitals_SIR_Greater_Than_National_SIR
New Jersey,VAE,2018,,LTAC,11,47,83.19346446,0.565,11,0
New Mexico,VAE,2018,,LTAC,3,,,,,
Nevada,VAE,2018,,LTAC,10,2,30.31914075,0.066,8,
New York,VAE,2018,,LTAC,1,,,,,
Ohio,VAE,2018,,LTAC,31,85,87.12406894,0.976,24,8
Oklahoma,VAE,2018,,LTAC,11,45,19.69508764,2.285,5,
Oregon,VAE,2018,,LTAC,1,,,,,
Pennsylvania,VAE,2018,,LTAC,22,61,63.35734787,0.963,16,25
Puerto Rico,VAE,2018,,LTAC,0,,,,,
Rhode Island,VAE,2018,,LTAC,1,,,,,
South Carolina,VAE,2018,,LTAC,6,17,32.05439095,0.53,6,
South Dakota,VAE,2018,,LTAC,1,,,,,
Tennessee,VAE,2018,,LTAC,9,25,59.02098173,0.424,9,
Texas,VAE,2018,,LTAC,71,110,105.5253854,1.042,34,18
Utah,VAE,2018,,LTAC,4,,,,,
Virginia,VAE,2018,,LTAC,6,9,33.36966833,0.27,4,
Virgin Islands,VAE,2018,,LTAC,0,,,,,
Vermont,VAE,2018,,LTAC,0,,,,,
Washington,VAE,2018,,LTAC,3,,,,,
Wisconsin,VAE,2018,,LTAC,6,17,17.25795982,0.985,4,
West Virginia,VAE,2018,,LTAC,4,,,,,
Wyoming,VAE,2018,,LTAC,0,,,,,
National,VAE,2018,,LTAC,435,1489,1771.10695,0.841,304,15
Alaska,COLON,2018,,General,7,25,17.3687,1.439,5,
Alabama,COLON,2018,,General,66,80,143.4613,0.558,29,3
Arkansas,COLON,2018,,General,41,59,70.4257,0.838,21,0
Arizona,COLON,2018,,General,54,157,158.5323,0.99,35,11
California,COLON,2018,,General,311,694,723.1338,0.96,194,7
Colorado,COLON,2018,,General,47,128,128.633,0.995,29,10
Connecticut,COLON,2018,,General,28,89,96.2228,0.925,21,10
District of Columbia,COLON,2018,,General,8,34,37.9131,0.897,5,
Delaware,COLON,2018,,General,7,14,29.2717,0.478,4,
Florida,COLON,2018,,General,193,525,612.7188,0.857,142,8
Georgia,COLON,2018,,General,87,255,280.2479,0.91,47,9
Guam,COLON,2018,,General,1,,,,,
Hawaii,COLON,2018,,General,13,14,26.3188,0.532,7,
Iowa,COLON,2018,,General,37,67,76.6722,0.874,16,6
Idaho,COLON,2018,,General,14,43,34.0736,1.262,8,
Illinois,COLON,2018,,General,127,285,309.0067,0.922,78,6
Indiana,COLON,2018,,General,76,176,176.7443,0.996,37,14
Kansas,COLON,2018,,General,39,81,77.9629,1.039,17,12
Kentucky,COLON,2018,,General,65,168,138.7384,1.211,32,22
Louisiana,COLON,2018,,General,72,139,125.1851,1.11,34,12
Massachusetts,COLON,2018,,General,59,164,184.7172,0.888,41,7
Maryland,COLON,2018,,General,45,131,153.5152,0.853,31,6
Maine,COLON,2018,,General,17,35,34.8875,1.003,8,
Michigan,COLON,2018,,General,91,281,277.0391,1.014,56,13
Minnesota,COLON,2018,,General,48,127,148.2363,0.857,21,5
Missouri,COLON,2018,,General,69,160,186.6361,0.857,39,8
Mississippi,COLON,2018,,General,40,87,79.0009,1.101,20,10
Montana,COLON,2018,,General,12,19,19.2376,0.988,6,
North Carolina,COLON,2018,,General,85,236,285.5313,0.827,49,4
North Dakota,COLON,2018,,General,7,35,21.4276,1.633,7,
Nebraska,COLON,2018,,General,22,58,52.402,1.107,10,10
New Hampshire,COLON,2018,,General,13,31,35.1131,0.883,11,0
New Jersey,COLON,2018,,General,70,149,203.277,0.733,48,6
New Mexico,COLON,2018,,General,25,31,31.1821,0.994,10,10
Idaho,CDI,2015,No,LTAC,3,,,,,
Nevada,COLON,2018,,General,20,67,60.0377,1.116,15,7
New York,COLON,2018,,General,161,489,526.9349,0.928,99,7
Ohio,COLON,2018,,General,125,293,397.4339,0.737,79,3
Oklahoma,COLON,2018,,General,53,104,100.6522,1.033,22,9
Oregon,COLON,2018,,General,33,78,108.6207,0.718,26,0
Pennsylvania,COLON,2018,,General,148,332,405.2699,0.819,85,1
Puerto Rico,COLON,2018,,General,2,,,,,
Rhode Island,COLON,2018,,General,10,29,24.8548,1.167,5,
South Carolina,COLON,2018,,General,54,100,113.1567,0.884,26,8
South Dakota,COLON,2018,,General,15,38,24.7799,1.534,4,
Tennessee,COLON,2018,,General,87,182,230.4409,0.79,40,3
Texas,COLON,2018,,General,260,522,655.2372,0.797,143,4
Utah,COLON,2018,,General,31,55,56.3674,0.976,9,
Virginia,COLON,2018,,General,72,159,199.068,0.799,42,0
Virgin Islands,COLON,2018,,General,2,,,,,
Vermont,COLON,2018,,General,6,16,12.9137,1.239,2,
Washington,COLON,2018,,General,48,95,159.3637,0.596,35,3
Wisconsin,COLON,2018,,General,69,113,144.0961,0.784,35,0
West Virginia,COLON,2018,,General,25,69,53.5865,1.288,13,15
Wyoming,COLON,2018,,General,12,3,5.8185,0.516,2,
Alaska,HYST,2018,,General,7,2,3.1711,0.631,1,
Alabama,HYST,2018,,General,53,40,41.3769,0.967,12,0
Arkansas,HYST,2018,,General,38,17,18.3637,0.926,6,
Arizona,HYST,2018,,General,50,37,39.8987,0.927,12,0
California,HYST,2018,,General,291,135,153.7013,0.878,55,4
Colorado,HYST,2018,,General,45,31,32.2548,0.961,13,0
Connecticut,HYST,2018,,General,26,29,23.8792,1.214,7,
District of Columbia,HYST,2018,,General,7,9,5.9368,1.516,3,
Delaware,HYST,2018,,General,7,8,5.6806,1.408,1,
Florida,HYST,2018,,General,177,117,130.3035,0.898,46,7
Georgia,HYST,2018,,General,82,84,79.6482,1.055,26,4
Guam,HYST,2018,,General,1,,,,,
Hawaii,HYST,2018,,General,11,3,4.0154,0.747,2,
Iowa,HYST,2018,,General,34,16,19.0033,0.842,3,
Idaho,HYST,2018,,General,14,4,5.0502,0.792,2,
Illinois,HYST,2018,,General,123,83,77.1781,1.075,26,8
Indiana,HYST,2018,,General,75,42,43.2241,0.972,12,17
Kansas,HYST,2018,,General,39,17,18.9466,0.897,4,
Kentucky,HYST,2018,,General,56,39,35.2953,1.105,9,
Louisiana,HYST,2018,,General,69,26,32.0806,0.81,8,
Massachusetts,HYST,2018,,General,51,23,34.6301,0.664,9,
Maryland,HYST,2018,,General,39,55,34.1274,1.612,9,
Maine,HYST,2018,,General,17,3,5.9611,0.503,1,
Michigan,HYST,2018,,General,84,80,67.1667,1.191,25,12
Minnesota,HYST,2018,,General,48,30,29.2299,1.026,10,0
Missouri,HYST,2018,,General,63,35,43.235,0.81,12,0
Mississippi,HYST,2018,,General,42,32,19.7841,1.617,6,
Montana,HYST,2018,,General,12,6,4.3592,1.376,1,
North Carolina,HYST,2018,,General,83,47,69.8958,0.672,18,0
North Dakota,HYST,2018,,General,7,4,2.1339,1.875,0,
Nebraska,HYST,2018,,General,22,12,11.9876,1.001,5,
New Hampshire,HYST,2018,,General,13,5,5.7817,0.865,1,
New Jersey,HYST,2018,,General,62,50,45.2709,1.104,14,7
New Mexico,HYST,2018,,General,23,12,10.7317,1.118,3,
Nevada,HYST,2018,,General,17,17,10.4955,1.62,4,
New York,HYST,2018,,General,149,110,119.2774,0.922,41,7
Ohio,HYST,2018,,General,120,61,83.2101,0.733,26,4
Oklahoma,HYST,2018,,General,59,21,29.303,0.717,8,
Oregon,HYST,2018,,General,33,14,18.589,0.753,8,
Pennsylvania,HYST,2018,,General,131,61,80.2913,0.76,20,0
Puerto Rico,HYST,2018,,General,3,,,,,
Rhode Island,HYST,2018,,General,9,7,7.3421,0.953,2,
South Carolina,HYST,2018,,General,49,35,34.421,1.017,12,0
South Dakota,HYST,2018,,General,14,3,6.6103,0.454,2,
Tennessee,HYST,2018,,General,76,42,53.5161,0.785,14,0
Texas,HYST,2018,,General,259,188,197.0311,0.954,52,8
Utah,HYST,2018,,General,30,8,17.1146,0.467,5,
Virginia,HYST,2018,,General,66,58,54.3725,1.067,12,8
Virgin Islands,HYST,2018,,General,2,,,,,
Vermont,HYST,2018,,General,6,1,3.0258,0.33,1,
Washington,HYST,2018,,General,50,16,33.4827,0.478,10,0
Wisconsin,HYST,2018,,General,66,41,32.8314,1.249,12,17
West Virginia,HYST,2018,,General,23,10,12.8959,0.775,5,
Wyoming,HYST,2018,,General,10,0,1.6614,0,0,
National,COLON,2018,,General,3129,7323,8255.389,0.887,1800,7
National,HYST,2018,,General,2943,1829,1950.352,0.938,596,5
Alaska,CDI,2018,,LTAC,1,,,,,
Alabama,CDI,2018,,LTAC,8,15,62.83,0.239,8,
Arkansas,CDI,2018,,LTAC,8,25,47.599,0.525,8,
Arizona,CDI,2018,,LTAC,6,25,47.62,0.525,6,
California,CDI,2018,,LTAC,23,510,549.371,0.928,23,48
Colorado,CDI,2018,,LTAC,7,56,76.4,0.733,7,
Connecticut,CDI,2018,,LTAC,3,,,,,
District of Columbia,CDI,2018,,LTAC,2,,,,,
Delaware,CDI,2018,,LTAC,1,,,,,
Florida,CDI,2018,,LTAC,28,249,414.884,0.6,28,21
Georgia,CDI,2018,,LTAC,14,75,186.753,0.402,14,0
Guam,CDI,2018,,LTAC,0,,,,,
Hawaii,CDI,2018,,LTAC,1,,,,,
Iowa,CDI,2018,,LTAC,2,,,,,
Idaho,CDI,2018,,LTAC,2,,,,,
Illinois,CDI,2018,,LTAC,10,177,199.112,0.889,10,30
Indiana,CDI,2018,,LTAC,12,72,111.314,0.647,12,0
Kansas,CDI,2018,,LTAC,3,,,,,
Kentucky,CDI,2018,,LTAC,9,42,83.233,0.505,9,
Louisiana,CDI,2018,,LTAC,31,105,201.963,0.52,30,7
Massachusetts,CDI,2018,,LTAC,12,141,430.731,0.327,12,25
Maryland,CDI,2018,,LTAC,2,,,,,
Maine,CDI,2018,,LTAC,0,,,,,
Michigan,CDI,2018,,LTAC,20,95,160.419,0.592,20,0
Minnesota,CDI,2018,,LTAC,2,,,,,
Missouri,CDI,2018,,LTAC,11,57,85.955,0.663,11,9
Mississippi,CDI,2018,,LTAC,9,30,70.998,0.423,8,
Montana,CDI,2018,,LTAC,1,,,,,
North Carolina,CDI,2018,,LTAC,9,66,97.68,0.676,9,
North Dakota,CDI,2018,,LTAC,2,,,,,
Nebraska,CDI,2018,,LTAC,4,,,,,
New Hampshire,CDI,2018,,LTAC,0,,,,,
New Jersey,CDI,2018,,LTAC,12,85,145.103,0.586,12,17
New Mexico,CDI,2018,,LTAC,3,,,,,
Nevada,CDI,2018,,LTAC,10,56,89.721,0.624,10,20
New York,CDI,2018,,LTAC,2,,,,,
Ohio,CDI,2018,,LTAC,30,207,296.065,0.699,29,21
Oklahoma,CDI,2018,,LTAC,12,46,90.251,0.51,12,8
Oregon,CDI,2018,,LTAC,1,,,,,
Pennsylvania,CDI,2018,,LTAC,22,149,181.407,0.821,22,18
Puerto Rico,CDI,2018,,LTAC,0,,,,,
Rhode Island,CDI,2018,,LTAC,1,,,,,
South Carolina,CDI,2018,,LTAC,6,39,71.374,0.546,6,
South Dakota,CDI,2018,,LTAC,1,,,,,
Tennessee,CDI,2018,,LTAC,9,52,105.377,0.493,9,
Texas,CDI,2018,,LTAC,71,490,649.835,0.754,70,17
Utah,CDI,2018,,LTAC,4,,,,,
Virginia,CDI,2018,,LTAC,6,44,68.994,0.638,6,
Virgin Islands,CDI,2018,,LTAC,0,,,,,
Vermont,CDI,2018,,LTAC,0,,,,,
Washington,CDI,2018,,LTAC,3,,,,,
Wisconsin,CDI,2018,,LTAC,6,35,65.287,0.536,6,
West Virginia,CDI,2018,,LTAC,4,,,,,
Wyoming,CDI,2018,,LTAC,0,,,,,
National,CDI,2018,,LTAC,446,3297,5248.734,0.628,441,14
Alaska,MRSA,2018,,LTAC,1,,,,,
Alabama,MRSA,2018,,LTAC,8,6,11.613,0.517,7,
Arkansas,MRSA,2018,,LTAC,7,2,6.481,0.309,2,
Arizona,MRSA,2018,,LTAC,6,5,9.42,0.531,3,
California,MRSA,2018,,LTAC,23,95,69.149,1.374,22,18
Colorado,MRSA,2018,,LTAC,7,8,10.034,0.797,5,
Connecticut,MRSA,2018,,LTAC,3,,,,,
District of Columbia,MRSA,2018,,LTAC,2,,,,,
Delaware,MRSA,2018,,LTAC,1,,,,,
Florida,MRSA,2018,,LTAC,28,86,56.266,1.528,26,35
Georgia,MRSA,2018,,LTAC,14,13,29.515,0.44,12,0
Guam,MRSA,2018,,LTAC,0,,,,,
Hawaii,MRSA,2018,,LTAC,1,,,,,
Iowa,MRSA,2018,,LTAC,2,,,,,
Idaho,MRSA,2018,,LTAC,2,,,,,
Illinois,MRSA,2018,,LTAC,10,24,27.164,0.884,10,0
Indiana,MRSA,2018,,LTAC,12,5,18.517,0.27,6,
Kansas,MRSA,2018,,LTAC,3,,,,,
Kentucky,MRSA,2018,,LTAC,9,9,11.143,0.808,4,
Louisiana,MRSA,2018,,LTAC,33,14,26.974,0.519,7,
Massachusetts,MRSA,2018,,LTAC,12,9,59.259,0.152,11,0
Maryland,MRSA,2018,,LTAC,2,,,,,
Maine,MRSA,2018,,LTAC,0,,,,,
Michigan,MRSA,2018,,LTAC,20,20,22.824,0.876,12,0
Minnesota,MRSA,2018,,LTAC,2,,,,,
Missouri,MRSA,2018,,LTAC,11,12,10.914,1.1,6,
Mississippi,MRSA,2018,,LTAC,8,3,9.603,0.312,4,
Montana,MRSA,2018,,LTAC,1,,,,,
North Carolina,MRSA,2018,,LTAC,9,4,12.297,0.325,6,
North Dakota,MRSA,2018,,LTAC,2,,,,,
Nebraska,MRSA,2018,,LTAC,4,,,,,
New Hampshire,MRSA,2018,,LTAC,0,,,,,
New Jersey,MRSA,2018,,LTAC,12,16,22.939,0.698,12,0
New Mexico,MRSA,2018,,LTAC,3,,,,,
Nevada,MRSA,2018,,LTAC,10,3,11.866,0.253,5,
New York,MRSA,2018,,LTAC,1,,,,,
Ohio,MRSA,2018,,LTAC,31,18,42.88,0.42,13,0
Oklahoma,MRSA,2018,,LTAC,12,9,12.562,0.716,6,
Oregon,MRSA,2018,,LTAC,1,,,,,
Pennsylvania,MRSA,2018,,LTAC,22,23,25.899,0.888,15,0
Puerto Rico,MRSA,2018,,LTAC,0,,,,,
Rhode Island,MRSA,2018,,LTAC,1,,,,,
South Carolina,MRSA,2018,,LTAC,6,4,8.357,0.479,5,
South Dakota,MRSA,2018,,LTAC,1,,,,,
Tennessee,MRSA,2018,,LTAC,9,17,16.631,1.022,7,
Texas,MRSA,2018,,LTAC,72,76,87.25,0.871,39,0
Utah,MRSA,2018,,LTAC,4,,,,,
Virginia,MRSA,2018,,LTAC,6,9,13.043,0.69,3,
Virgin Islands,MRSA,2018,,LTAC,0,,,,,
Vermont,MRSA,2018,,LTAC,0,,,,,
Washington,MRSA,2018,,LTAC,3,,,,,
Wisconsin,MRSA,2018,,LTAC,6,7,7.982,0.877,5,
West Virginia,MRSA,2018,,LTAC,4,,,,,
Wyoming,MRSA,2018,,LTAC,0,,,,,
National,MRSA,2018,,LTAC,447,532,715.266,0.744,282,6
Alaska,CDI,2018,,General,8,127,142.181,0.893,7,
Alabama,CDI,2018,,General,90,993,1788.501,0.555,73,1
Arkansas,CDI,2018,,General,49,700,905.641,0.773,40,15
Arizona,CDI,2018,,General,66,1151,1734.543,0.664,54,11
California,CDI,2018,,General,338,5740,8474.7,0.677,316,11
Colorado,CDI,2018,,General,56,1043,1183.239,0.881,45,18
Connecticut,CDI,2018,,General,31,893,1092.051,0.818,29,21
District of Columbia,CDI,2018,,General,8,277,419.343,0.661,8,
Delaware,CDI,2018,,General,8,232,341.939,0.678,8,
Florida,CDI,2018,,General,208,4795,7944.884,0.604,198,9
Georgia,CDI,2018,,General,107,2072,3073.645,0.674,92,11
Guam,CDI,2018,,General,1,,,,,
Hawaii,CDI,2018,,General,17,183,347.783,0.526,16,0
Iowa,CDI,2018,,General,38,633,870.869,0.727,35,6
Idaho,CDI,2018,,General,17,188,286.389,0.656,12,0
Illinois,CDI,2018,,General,135,3509,4230.275,0.829,128,23
Indiana,CDI,2018,,General,93,1540,2151.2,0.716,82,12
Kansas,CDI,2018,,General,58,598,746.352,0.801,40,10
Kentucky,CDI,2018,,General,70,1048,1603.723,0.653,63,8
Louisiana,CDI,2018,,General,99,993,1345.639,0.738,71,8
Massachusetts,CDI,2018,,General,68,1893,2425.469,0.78,66,12
Maryland,CDI,2018,,General,48,1491,1864.947,0.799,47,15
Maine,CDI,2018,,General,17,218,335.327,0.65,17,0
Michigan,CDI,2018,,General,99,2585,3435.292,0.752,89,12
Minnesota,CDI,2018,,General,52,1248,1586.506,0.787,49,12
Missouri,CDI,2018,,General,78,1700,2216.861,0.767,70,16
Mississippi,CDI,2018,,General,57,817,1122.897,0.728,48,8
Montana,CDI,2018,,General,14,91,169.629,0.536,11,0
North Carolina,CDI,2018,,General,98,2395,3357.869,0.713,94,11
North Dakota,CDI,2018,,General,9,216,225.943,0.956,8,
Nebraska,CDI,2018,,General,25,436,523.355,0.833,21,5
New Hampshire,CDI,2018,,General,13,319,357.263,0.893,13,31
New Jersey,CDI,2018,,General,71,2234,2813.017,0.794,71,23
New Mexico,CDI,2018,,General,29,414,437.244,0.947,25,12
Nevada,CDI,2018,,General,25,619,973.673,0.636,21,5
New York,CDI,2018,,General,178,5032,7129.715,0.706,169,14
Ohio,CDI,2018,,General,145,3121,4315.293,0.723,130,9
Oklahoma,CDI,2018,,General,81,759,1206.214,0.629,54,6
Oregon,CDI,2018,,General,35,633,895.972,0.706,34,12
Pennsylvania,CDI,2018,,General,173,3705,4692.718,0.79,151,19
Puerto Rico,CDI,2018,,General,4,,,,,
Rhode Island,CDI,2018,,General,10,329,355.756,0.925,10,30
South Carolina,CDI,2018,,General,62,1180,1578.66,0.747,58,16
South Dakota,CDI,2018,,General,20,186,292.906,0.635,11,0
Tennessee,CDI,2018,,General,110,1635,2414.996,0.677,90,7
Texas,CDI,2018,,General,357,4893,7689.848,0.636,259,8
Utah,CDI,2018,,General,35,328,445.847,0.736,27,7
Virginia,CDI,2018,,General,80,1450,2330.512,0.622,78,5
Virgin Islands,CDI,2018,,General,2,,,,,
Vermont,CDI,2018,,General,6,92,124.467,0.739,6,
Washington,CDI,2018,,General,57,1179,1571.374,0.75,52,15
Wisconsin,CDI,2018,,General,73,950,1387.287,0.685,69,7
West Virginia,CDI,2018,,General,29,679,807.653,0.841,26,12
Wyoming,CDI,2018,,General,12,74,82.275,0.899,8,
National,CDI,2018,,General,3669,69648,97962.238,0.711,3205,12
Alaska,MRSA,2018,,General,8,11,15.379,0.715,4,
Alabama,MRSA,2018,,General,90,193,199.981,0.965,33,6
Arkansas,MRSA,2018,,General,49,101,92.419,1.093,20,10
Arizona,MRSA,2018,,General,66,166,196.472,0.845,36,6
California,MRSA,2018,,General,344,626,831.986,0.752,205,2
Colorado,MRSA,2018,,General,56,61,105.859,0.576,24,0
Connecticut,MRSA,2018,,General,31,72,97.094,0.742,22,0
District of Columbia,MRSA,2018,,General,8,41,56.09,0.731,7,
Delaware,MRSA,2018,,General,8,42,41.291,1.017,7,
Florida,MRSA,2018,,General,208,774,749.471,1.033,155,11
Georgia,MRSA,2018,,General,107,293,311.935,0.939,55,15
Guam,MRSA,2018,,General,2,,,,,
Hawaii,MRSA,2018,,General,17,13,34.358,0.378,13,0
Iowa,MRSA,2018,,General,37,49,83.42,0.587,16,0
Idaho,MRSA,2018,,General,17,6,23.716,0.253,7,
Illinois,MRSA,2018,,General,135,202,340.655,0.593,79,0
Indiana,MRSA,2018,,General,93,150,203.636,0.737,42,2
Kansas,MRSA,2018,,General,58,46,65.148,0.706,13,8
Kentucky,MRSA,2018,,General,70,185,184.864,1.001,34,9
Louisiana,MRSA,2018,,General,98,216,171.784,1.257,35,17
Massachusetts,MRSA,2018,,General,68,160,238.492,0.671,43,0
Maryland,MRSA,2018,,General,48,166,185.28,0.896,34,3
Maine,MRSA,2018,,General,17,19,35.413,0.537,6,
Michigan,MRSA,2018,,General,99,301,340.65,0.884,59,10
Minnesota,MRSA,2018,,General,51,55,125.523,0.438,22,0
Missouri,MRSA,2018,,General,78,178,218.773,0.814,38,11
Mississippi,MRSA,2018,,General,58,110,108.579,1.013,22,9
Montana,MRSA,2018,,General,14,4,16.906,0.237,5,
North Carolina,MRSA,2018,,General,98,313,359.392,0.871,51,4
North Dakota,MRSA,2018,,General,9,13,22.085,0.589,7,
Nebraska,MRSA,2018,,General,25,23,54.492,0.422,14,0
New Hampshire,MRSA,2018,,General,13,18,32.985,0.546,10,0
New Jersey,MRSA,2018,,General,71,255,270.12,0.944,61,7
New Mexico,MRSA,2018,,General,31,23,37.169,0.619,9,
Nevada,MRSA,2018,,General,24,75,87.022,0.862,15,13
New York,MRSA,2018,,General,177,659,742.199,0.888,120,8
Ohio,MRSA,2018,,General,144,394,429.531,0.917,81,7
Oklahoma,MRSA,2018,,General,81,108,128.125,0.843,18,11
Oregon,MRSA,2018,,General,35,64,89.337,0.716,18,0
Pennsylvania,MRSA,2018,,General,171,312,470.647,0.663,94,0
Puerto Rico,MRSA,2018,,General,2,,,,,
Rhode Island,MRSA,2018,,General,10,32,26.4,1.212,7,
South Carolina,MRSA,2018,,General,62,185,172.491,1.073,26,15
South Dakota,MRSA,2018,,General,21,20,28.697,0.697,3,
Tennessee,MRSA,2018,,General,110,356,276.474,1.288,45,24
Texas,MRSA,2018,,General,358,636,766.599,0.83,149,6
Utah,MRSA,2018,,General,34,33,55.464,0.595,9,
Virginia,MRSA,2018,,General,80,187,231.735,0.807,44,2
Virgin Islands,MRSA,2018,,General,2,,,,,
Vermont,MRSA,2018,,General,6,6,13.184,0.455,2,
Washington,MRSA,2018,,General,57,101,181.234,0.557,35,3
Delaware,CDI,2016,,General,8,369,350.018,1.05,8,
Wisconsin,MRSA,2018,,General,73,56,122.545,0.457,32,3
West Virginia,MRSA,2018,,General,29,103,96.104,1.072,15,13
Wyoming,MRSA,2018,,General,12,0,4.752,0,2,
National,MRSA,2018,,General,3670,8222,9783.465,0.84,1905,6
Alaska,CDI,2018,,REHAB,2,,,,,
Alabama,CDI,2018,,REHAB,17,69,92.189,0.748,16,19
Arkansas,CDI,2018,,REHAB,23,50,73.54,0.68,19,11
Arizona,CDI,2018,,REHAB,25,59,96.3,0.613,24,4
California,CDI,2018,,REHAB,76,147,249.584,0.589,67,4
Colorado,CDI,2018,,REHAB,20,20,44.575,0.449,15,0
Connecticut,CDI,2018,,REHAB,7,7,16.249,0.431,6,
District of Columbia,CDI,2018,,REHAB,2,,,,,
Delaware,CDI,2018,,REHAB,3,,,,,
Florida,CDI,2018,,REHAB,52,225,314.722,0.715,52,6
Georgia,CDI,2018,,REHAB,28,56,94.488,0.593,26,8
Guam,CDI,2018,,REHAB,0,,,,,
Hawaii,CDI,2018,,REHAB,1,,,,,
Iowa,CDI,2018,,REHAB,16,17,23.333,0.729,9,
Idaho,CDI,2018,,REHAB,6,11,12.636,0.871,5,
Illinois,CDI,2018,,REHAB,41,121,206.822,0.585,37,5
Indiana,CDI,2018,,REHAB,37,86,101.457,0.848,31,13
Kansas,CDI,2018,,REHAB,20,29,57.792,0.502,15,0
Kentucky,CDI,2018,,REHAB,16,61,83.904,0.727,12,8
Louisiana,CDI,2018,,REHAB,48,40,93.628,0.427,39,3
Massachusetts,CDI,2018,,REHAB,10,81,80.904,1.001,10,30
Maryland,CDI,2018,,REHAB,3,,,,,
Maine,CDI,2018,,REHAB,5,7,17.011,0.411,4,
Michigan,CDI,2018,,REHAB,38,87,146.184,0.595,32,3
Minnesota,CDI,2018,,REHAB,13,19,34.047,0.558,10,0
Missouri,CDI,2018,,REHAB,30,74,105.564,0.701,24,4
Mississippi,CDI,2018,,REHAB,11,18,28.292,0.636,10,0
Montana,CDI,2018,,REHAB,4,,,,,
North Carolina,CDI,2018,,REHAB,26,33,103.933,0.318,20,0
North Dakota,CDI,2018,,REHAB,3,,,,,
Nebraska,CDI,2018,,REHAB,10,16,34.936,0.458,9,
New Hampshire,CDI,2018,,REHAB,8,23,29.688,0.775,8,
New Jersey,CDI,2018,,REHAB,19,116,124.846,0.929,17,18
New Mexico,CDI,2018,,REHAB,8,22,28.799,0.764,4,
Nevada,CDI,2018,,REHAB,13,64,64.241,0.996,12,17
New York,CDI,2018,,REHAB,52,115,194.97,0.59,42,2
Ohio,CDI,2018,,REHAB,47,104,161.253,0.645,39,13
Oklahoma,CDI,2018,,REHAB,22,28,54.319,0.515,14,0
Oregon,CDI,2018,,REHAB,8,5,16.655,0.3,6,
Pennsylvania,CDI,2018,,REHAB,76,199,297.654,0.669,62,8
Puerto Rico,CDI,2018,,REHAB,5,2,10.371,0.193,4,
Rhode Island,CDI,2018,,REHAB,5,6,8.919,0.673,5,
South Carolina,CDI,2018,,REHAB,21,36,64.697,0.556,18,0
South Dakota,CDI,2018,,REHAB,3,,,,,
Tennessee,CDI,2018,,REHAB,32,69,108.216,0.638,27,11
Texas,CDI,2018,,REHAB,143,333,524.924,0.634,129,5
Utah,CDI,2018,,REHAB,11,20,29.921,0.668,8,
Virginia,CDI,2018,,REHAB,27,54,100.554,0.537,22,5
Virgin Islands,CDI,2018,,REHAB,0,,,,,
Vermont,CDI,2018,,REHAB,2,,,,,
Washington,CDI,2018,,REHAB,15,12,37.211,0.322,13,0
Wisconsin,CDI,2018,,REHAB,21,24,40.326,0.595,14,0
West Virginia,CDI,2018,,REHAB,8,19,29.228,0.65,5,
Wyoming,CDI,2018,,REHAB,2,,,,,
National,CDI,2018,,REHAB,1141,2623,4131.433,0.635,963,6
Alaska,MRSA,2018,,REHAB,2,,,,,
Alabama,MRSA,2018,,REHAB,17,5,3.732,1.34,0,
Arkansas,MRSA,2018,,REHAB,23,1,3.238,0.309,0,
Arizona,MRSA,2018,,REHAB,25,1,4.281,0.234,0,
California,MRSA,2018,,REHAB,76,9,10.58,0.851,0,
Colorado,MRSA,2018,,REHAB,21,0,1.97,0,0,
Connecticut,MRSA,2018,,REHAB,7,0,0.713,,0,
District of Columbia,MRSA,2018,,REHAB,2,,,,,
Delaware,MRSA,2018,,REHAB,3,,,,,
Florida,MRSA,2018,,REHAB,52,18,12.917,1.394,0,
Georgia,MRSA,2018,,REHAB,28,5,3.684,1.357,0,
Guam,MRSA,2018,,REHAB,0,,,,,
Hawaii,MRSA,2018,,REHAB,1,,,,,
Iowa,MRSA,2018,,REHAB,16,0,0.972,,0,
Idaho,MRSA,2018,,REHAB,6,0,0.551,,0,
Illinois,MRSA,2018,,REHAB,43,7,7.423,0.943,1,
Indiana,MRSA,2018,,REHAB,37,4,4.142,0.966,0,
Kansas,MRSA,2018,,REHAB,20,1,2.278,0.439,0,
Kentucky,MRSA,2018,,REHAB,16,7,3.095,2.262,0,
Louisiana,MRSA,2018,,REHAB,49,5,4.324,1.156,0,
Massachusetts,MRSA,2018,,REHAB,10,3,3.756,0.799,0,
Maryland,MRSA,2018,,REHAB,3,,,,,
Maine,MRSA,2018,,REHAB,5,0,0.767,,0,
Michigan,MRSA,2018,,REHAB,38,7,5.449,1.285,0,
Minnesota,MRSA,2018,,REHAB,13,0,1.254,0,0,
Missouri,MRSA,2018,,REHAB,30,1,4.183,0.239,0,
Mississippi,MRSA,2018,,REHAB,11,1,1.383,0.723,0,
Montana,MRSA,2018,,REHAB,4,,,,,
North Carolina,MRSA,2018,,REHAB,26,5,4.299,1.163,0,
North Dakota,MRSA,2018,,REHAB,3,,,,,
Nebraska,MRSA,2018,,REHAB,10,0,1.178,0,0,
New Hampshire,MRSA,2018,,REHAB,8,2,1.344,1.488,0,
New Jersey,MRSA,2018,,REHAB,19,2,5.758,0.347,0,
