Antibiotic_Class,Year,Location,Age_Group,Sex,Rate
Cephalosporins,2012,Montana,Combined Ages,Combined Gender,82.0275219
Fluoroquinolones,2012,Montana,Combined Ages,Combined Gender,77.61244694
Macrolides,2012,Montana,Combined Ages,Combined Gender,157.060616
Penicillins,2012,Montana,Combined Ages,Combined Gender,155.8631088
All classes,2012,Nebraska,Combined Ages,Combined Gender,1049.446167
All other,2012,Nebraska,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Nebraska,Combined Ages,Combined Gender,179.7973793
Fluoroquinolones,2012,Nebraska,Combined Ages,Combined Gender,118.2072954
Macrolides,2012,Nebraska,Combined Ages,Combined Gender,186.7511925
Penicillins,2012,Nebraska,Combined Ages,Combined Gender,224.1001635
All classes,2012,Nevada,Combined Ages,Combined Gender,722.9104526
All other,2012,Nevada,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Nevada,Combined Ages,Combined Gender,92.73324877
Fluoroquinolones,2012,Nevada,Combined Ages,Combined Gender,90.09221322
Macrolides,2012,Nevada,Combined Ages,Combined Gender,149.007747
All other,2014,Wisconsin,Combined Ages,Combined Gender,Insufficient Data
Penicillins,2012,Nevada,Combined Ages,Combined Gender,161.4430767
All classes,2012,New Hampshire,Combined Ages,Combined Gender,740.8061927
All other,2012,New Hampshire,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,New Hampshire,Combined Ages,Combined Gender,86.14359981
Fluoroquinolones,2012,New Hampshire,Combined Ages,Combined Gender,79.1302334
Macrolides,2012,New Hampshire,Combined Ages,Combined Gender,153.8381303
Penicillins,2012,New Hampshire,Combined Ages,Combined Gender,172.4925887
All classes,2012,New Jersey,Combined Ages,Combined Gender,944.4225755
All other,2012,New Jersey,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,New Jersey,Combined Ages,Combined Gender,112.2482289
Fluoroquinolones,2012,New Jersey,Combined Ages,Combined Gender,125.3197183
Macrolides,2012,New Jersey,Combined Ages,Combined Gender,223.3998975
Penicillins,2012,New Jersey,Combined Ages,Combined Gender,206.6130329
All classes,2012,New Mexico,Combined Ages,Combined Gender,707.1289086
All other,2012,New Mexico,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,New Mexico,Combined Ages,Combined Gender,91.7351868
Fluoroquinolones,2012,New Mexico,Combined Ages,Combined Gender,73.99050367
Macrolides,2012,New Mexico,Combined Ages,Combined Gender,156.9994157
Penicillins,2012,New Mexico,Combined Ages,Combined Gender,164.1402786
All classes,2012,New York,Combined Ages,Combined Gender,913.2899954
All other,2012,New York,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,New York,Combined Ages,Combined Gender,107.1070748
Fluoroquinolones,2012,New York,Combined Ages,Combined Gender,120.3049736
Macrolides,2012,New York,Combined Ages,Combined Gender,208.9874117
Penicillins,2012,New York,Combined Ages,Combined Gender,198.6530009
All classes,2012,North Carolina,Combined Ages,Combined Gender,950.4763576
All other,2012,North Carolina,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,North Carolina,Combined Ages,Combined Gender,131.2000454
Fluoroquinolones,2012,North Carolina,Combined Ages,Combined Gender,118.1213131
Macrolides,2012,North Carolina,Combined Ages,Combined Gender,189.2841947
Penicillins,2012,North Carolina,Combined Ages,Combined Gender,200.4314343
All classes,2012,North Dakota,Combined Ages,Combined Gender,963.5725412
All other,2012,North Dakota,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,North Dakota,Combined Ages,Combined Gender,145.0190607
Fluoroquinolones,2012,North Dakota,Combined Ages,Combined Gender,110.3119117
Macrolides,2012,North Dakota,Combined Ages,Combined Gender,217.5158649
Penicillins,2012,North Dakota,Combined Ages,Combined Gender,194.1307815
All classes,2012,Ohio,Combined Ages,Combined Gender,938.4391633
All other,2012,Ohio,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Ohio,Combined Ages,Combined Gender,119.5960514
Fluoroquinolones,2012,Ohio,Combined Ages,Combined Gender,104.1414726
Macrolides,2012,Ohio,Combined Ages,Combined Gender,214.3562507
Penicillins,2012,Ohio,Combined Ages,Combined Gender,195.5776125
All classes,2012,Oklahoma,Combined Ages,Combined Gender,992.3746476
All other,2012,Oklahoma,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Oklahoma,Combined Ages,Combined Gender,145.871937
Fluoroquinolones,2012,Oklahoma,Combined Ages,Combined Gender,119.3391221
Macrolides,2012,Oklahoma,Combined Ages,Combined Gender,202.2714556
Penicillins,2012,Oklahoma,Combined Ages,Combined Gender,204.5628428
All classes,2012,Oregon,Combined Ages,Combined Gender,600.3694631
All other,2012,Oregon,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Oregon,Combined Ages,Combined Gender,69.68117447
Fluoroquinolones,2012,Oregon,Combined Ages,Combined Gender,70.68869649
Macrolides,2012,Oregon,Combined Ages,Combined Gender,106.4850524
Penicillins,2012,Oregon,Combined Ages,Combined Gender,134.6973338
All classes,2012,Pennsylvania,Combined Ages,Combined Gender,868.7042119
All other,2012,Pennsylvania,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Pennsylvania,Combined Ages,Combined Gender,106.0295208
Fluoroquinolones,2012,Pennsylvania,Combined Ages,Combined Gender,102.0951597
Macrolides,2012,Pennsylvania,Combined Ages,Combined Gender,196.3492018
Penicillins,2012,Pennsylvania,Combined Ages,Combined Gender,191.187274
All classes,2012,Rhode Island,Combined Ages,Combined Gender,960.1707901
All other,2012,Rhode Island,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Rhode Island,Combined Ages,Combined Gender,101.8143862
Fluoroquinolones,2012,Rhode Island,Combined Ages,Combined Gender,125.3810478
Macrolides,2012,Rhode Island,Combined Ages,Combined Gender,215.2003112
Penicillins,2012,Rhode Island,Combined Ages,Combined Gender,212.9417074
All classes,2012,South Carolina,Combined Ages,Combined Gender,992.0759807
All other,2012,South Carolina,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,South Carolina,Combined Ages,Combined Gender,134.1877445
Fluoroquinolones,2012,South Carolina,Combined Ages,Combined Gender,126.8526143
Macrolides,2012,South Carolina,Combined Ages,Combined Gender,206.9119965
Penicillins,2012,South Carolina,Combined Ages,Combined Gender,205.5378528
All classes,2012,South Dakota,Combined Ages,Combined Gender,963.7513541
All other,2012,South Dakota,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,South Dakota,Combined Ages,Combined Gender,171.2340384
Fluoroquinolones,2012,South Dakota,Combined Ages,Combined Gender,102.3153514
Macrolides,2012,South Dakota,Combined Ages,Combined Gender,208.5325415
Penicillins,2012,South Dakota,Combined Ages,Combined Gender,192.290019
All classes,2012,Tennessee,Combined Ages,Combined Gender,1248.914223
All other,2012,Tennessee,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Tennessee,Combined Ages,Combined Gender,180.8908973
Fluoroquinolones,2012,Tennessee,Combined Ages,Combined Gender,158.3432801
Macrolides,2012,Tennessee,Combined Ages,Combined Gender,252.7056547
Penicillins,2012,Tennessee,Combined Ages,Combined Gender,233.4305628
All classes,2012,Texas,Combined Ages,Combined Gender,956.9410045
All other,2012,Texas,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Texas,Combined Ages,Combined Gender,143.0119709
Fluoroquinolones,2012,Texas,Combined Ages,Combined Gender,112.3001989
Macrolides,2012,Texas,Combined Ages,Combined Gender,200.1513657
Penicillins,2012,Texas,Combined Ages,Combined Gender,209.2654438
All classes,2012,Utah,Combined Ages,Combined Gender,838.2181491
All other,2012,Utah,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Utah,Combined Ages,Combined Gender,128.9287278
Fluoroquinolones,2012,Utah,Combined Ages,Combined Gender,72.08113004
Macrolides,2012,Utah,Combined Ages,Combined Gender,151.3845014
Penicillins,2012,Utah,Combined Ages,Combined Gender,221.7319594
All classes,2012,Vermont,Combined Ages,Combined Gender,703.4102067
All other,2012,Vermont,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Vermont,Combined Ages,Combined Gender,84.49188518
Fluoroquinolones,2012,Vermont,Combined Ages,Combined Gender,70.67879605
Macrolides,2012,Vermont,Combined Ages,Combined Gender,160.911125
Penicillins,2012,Vermont,Combined Ages,Combined Gender,165.8971185
All classes,2012,Virginia,Combined Ages,Combined Gender,869.0445897
All other,2012,Virginia,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Virginia,Combined Ages,Combined Gender,125.7356474
Fluoroquinolones,2012,Virginia,Combined Ages,Combined Gender,100.345565
Macrolides,2012,Virginia,Combined Ages,Combined Gender,179.7500946
Penicillins,2012,Virginia,Combined Ages,Combined Gender,189.8354949
All classes,2012,Washington,Combined Ages,Combined Gender,633.2687714
All other,2012,Washington,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Washington,Combined Ages,Combined Gender,82.31973841
Fluoroquinolones,2012,Washington,Combined Ages,Combined Gender,65.38838584
Macrolides,2012,Washington,Combined Ages,Combined Gender,129.8295454
Penicillins,2012,Washington,Combined Ages,Combined Gender,131.66578
All classes,2012,West Virginia,Combined Ages,Combined Gender,1338.254745
All other,2012,West Virginia,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,West Virginia,Combined Ages,Combined Gender,215.0747907
Fluoroquinolones,2012,West Virginia,Combined Ages,Combined Gender,169.2661529
Macrolides,2012,West Virginia,Combined Ages,Combined Gender,275.8873423
Penicillins,2012,West Virginia,Combined Ages,Combined Gender,259.8819272
All classes,2012,Wisconsin,Combined Ages,Combined Gender,775.5203071
All other,2012,Wisconsin,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Wisconsin,Combined Ages,Combined Gender,89.87851989
Fluoroquinolones,2012,Wisconsin,Combined Ages,Combined Gender,80.05935487
Macrolides,2012,Wisconsin,Combined Ages,Combined Gender,162.4277051
Penicillins,2012,Wisconsin,Combined Ages,Combined Gender,183.3688572
All classes,2012,Wyoming,Combined Ages,Combined Gender,807.3553328
All other,2012,Wyoming,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2012,Wyoming,Combined Ages,Combined Gender,112.0555632
Fluoroquinolones,2012,Wyoming,Combined Ages,Combined Gender,74.63879784
Macrolides,2012,Wyoming,Combined Ages,Combined Gender,180.7602276
Penicillins,2012,Wyoming,Combined Ages,Combined Gender,174.4262108
All classes,2013,National,0-19,Combined Gender,812.1408284
B-lactams increased activity,2013,National,0-19,Combined Gender,83.82312025
Cephalosporins,2013,National,0-19,Combined Gender,143.9680101
Fluoroquinolones,2013,National,0-19,Combined Gender,8.93967099
Lincosamides,2013,National,0-19,Combined Gender,13.00538609
Macrolides,2013,National,0-19,Combined Gender,155.5996411
Other,2013,National,0-19,Combined Gender,Insufficient Data
Penicillins,2013,National,0-19,Combined Gender,295.8072253
Tetracycline,2013,National,0-19,Combined Gender,47.32689844
Trimethoprim-sulfamethoxazole,2013,National,0-19,Combined Gender,53.57193583
Urinary anti-infectives,2013,National,0-19,Combined Gender,9.686696244
All classes,2013,National,0-19,Female,862.9140156
B-lactams increased activity,2013,National,0-19,Female,Insufficient Data
Cephalosporins,2013,National,0-19,Female,Insufficient Data
Fluoroquinolones,2013,National,0-19,Female,Insufficient Data
Lincosamides,2013,National,0-19,Female,Insufficient Data
Macrolides,2013,National,0-19,Female,Insufficient Data
Other,2013,National,0-19,Female,Insufficient Data
Penicillins,2013,National,0-19,Female,Insufficient Data
Tetracycline,2013,National,0-19,Female,Insufficient Data
Trimethoprim-sulfamethoxazole,2013,National,0-19,Female,Insufficient Data
Urinary anti-infectives,2013,National,0-19,Female,Insufficient Data
All classes,2013,National,0-19,Male,762.1761464
B-lactams increased activity,2013,National,0-19,Male,Insufficient Data
Cephalosporins,2013,National,0-19,Male,Insufficient Data
Fluoroquinolones,2013,National,0-19,Male,Insufficient Data
Lincosamides,2013,National,0-19,Male,Insufficient Data
Macrolides,2013,National,0-19,Male,Insufficient Data
Other,2013,National,0-19,Male,Insufficient Data
Penicillins,2013,National,0-19,Male,Insufficient Data
Tetracycline,2013,National,0-19,Male,Insufficient Data
Trimethoprim-sulfamethoxazole,2013,National,0-19,Male,Insufficient Data
Urinary anti-infectives,2013,National,0-19,Male,Insufficient Data
All classes,2013,National,20+,Combined Gender,843.3411071
B-lactams increased activity,2013,National,20+,Combined Gender,67.46065859
Cephalosporins,2013,National,20+,Combined Gender,102.2257428
Fluoroquinolones,2013,National,20+,Combined Gender,136.2173251
Lincosamides,2013,National,20+,Combined Gender,33.07660673
Macrolides,2013,National,20+,Combined Gender,159.7008817
Other,2013,National,20+,Combined Gender,2.088865312
Penicillins,2013,National,20+,Combined Gender,151.7911183
Tetracycline,2013,National,20+,Combined Gender,69.62305762
Trimethoprim-sulfamethoxazole,2013,National,20+,Combined Gender,72.36622613
Urinary anti-infectives,2013,National,20+,Combined Gender,48.79062495
All classes,2013,National,20+,Female,1045.441864
B-lactams increased activity,2013,National,20+,Female,Insufficient Data
Cephalosporins,2013,National,20+,Female,Insufficient Data
Fluoroquinolones,2013,National,20+,Female,Insufficient Data
Lincosamides,2013,National,20+,Female,Insufficient Data
Macrolides,2013,National,20+,Female,Insufficient Data
Other,2013,National,20+,Female,Insufficient Data
Penicillins,2013,National,20+,Female,Insufficient Data
Tetracycline,2013,National,20+,Female,Insufficient Data
Trimethoprim-sulfamethoxazole,2013,National,20+,Female,Insufficient Data
Urinary anti-infectives,2013,National,20+,Female,Insufficient Data
All classes,2013,National,20+,Male,628.0284529
B-lactams increased activity,2013,National,20+,Male,Insufficient Data
Cephalosporins,2013,National,20+,Male,Insufficient Data
Fluoroquinolones,2013,National,20+,Male,Insufficient Data
Lincosamides,2013,National,20+,Male,Insufficient Data
Macrolides,2013,National,20+,Male,Insufficient Data
Other,2013,National,20+,Male,Insufficient Data
Penicillins,2013,National,20+,Male,Insufficient Data
Tetracycline,2013,National,20+,Male,Insufficient Data
Trimethoprim-sulfamethoxazole,2013,National,20+,Male,Insufficient Data
Urinary anti-infectives,2013,National,20+,Male,Insufficient Data
All classes,2013,National,Combined Ages,Combined Gender,848.6984486
B-lactams increased activity,2013,National,Combined Ages,Combined Gender,72.85322684
Cephalosporins,2013,National,Combined Ages,Combined Gender,114.8208934
Fluoroquinolones,2013,National,Combined Ages,Combined Gender,104.817973
Lincosamides,2013,National,Combined Ages,Combined Gender,28.35851004
Macrolides,2013,National,Combined Ages,Combined Gender,161.1793791
Other,2013,National,Combined Ages,Combined Gender,1.679173478
Penicillins,2013,National,Combined Ages,Combined Gender,192.102782
Tetracycline,2013,National,Combined Ages,Combined Gender,65.05132443
Trimethoprim-sulfamethoxazole,2013,National,Combined Ages,Combined Gender,68.50538341
Urinary anti-infectives,2013,National,Combined Ages,Combined Gender,39.32980292
All classes,2013,National,Combined Ages,Female,1012.453638
B-lactams increased activity,2013,National,Combined Ages,Female,80.73065068
Cephalosporins,2013,National,Combined Ages,Female,130.2855941
Fluoroquinolones,2013,National,Combined Ages,Female,133.3591513
Lincosamides,2013,National,Combined Ages,Female,33.53028456
Macrolides,2013,National,Combined Ages,Female,192.5564523
Other,2013,National,Combined Ages,Female,1.866776952
Penicillins,2013,National,Combined Ages,Female,210.8352804
Tetracycline,2013,National,Combined Ages,Female,74.74763484
Trimethoprim-sulfamethoxazole,2013,National,Combined Ages,Female,85.28285706
Urinary anti-infectives,2013,National,Combined Ages,Female,69.2589555
All classes,2013,National,Combined Ages,Male,672.817404
B-lactams increased activity,2013,National,Combined Ages,Male,64.14005552
Cephalosporins,2013,National,Combined Ages,Male,97.90106236
Fluoroquinolones,2013,National,Combined Ages,Male,74.54873615
Lincosamides,2013,National,Combined Ages,Male,22.74107776
Macrolides,2013,National,Combined Ages,Male,127.5214423
Other,2013,National,Combined Ages,Male,1.471120634
Penicillins,2013,National,Combined Ages,Male,171.2092436
Tetracycline,2013,National,Combined Ages,Male,54.52456338
Trimethoprim-sulfamethoxazole,2013,National,Combined Ages,Male,50.64554827
Urinary anti-infectives,2013,National,Combined Ages,Male,8.114554124
All classes,2013,Alabama,Combined Ages,Combined Gender,1166.46098
All other,2013,Alabama,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Alabama,Combined Ages,Combined Gender,178.9792855
Fluoroquinolones,2013,Alabama,Combined Ages,Combined Gender,165.7910453
Macrolides,2013,Alabama,Combined Ages,Combined Gender,220.4913719
Penicillins,2013,Alabama,Combined Ages,Combined Gender,221.5405681
All classes,2013,Alaska,Combined Ages,Combined Gender,508.8802714
All other,2013,Alaska,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Alaska,Combined Ages,Combined Gender,62.28813755
Fluoroquinolones,2013,Alaska,Combined Ages,Combined Gender,58.00204541
Macrolides,2013,Alaska,Combined Ages,Combined Gender,106.4796767
Penicillins,2013,Alaska,Combined Ages,Combined Gender,104.7633735
All classes,2013,Arizona,Combined Ages,Combined Gender,759.100408
All other,2013,Arizona,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Arizona,Combined Ages,Combined Gender,110.2940167
Fluoroquinolones,2013,Arizona,Combined Ages,Combined Gender,88.88184426
Macrolides,2013,Arizona,Combined Ages,Combined Gender,145.3921592
Penicillins,2013,Arizona,Combined Ages,Combined Gender,166.2214768
All classes,2013,Arkansas,Combined Ages,Combined Gender,1148.930682
All other,2013,Arkansas,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Arkansas,Combined Ages,Combined Gender,181.3925912
Fluoroquinolones,2013,Arkansas,Combined Ages,Combined Gender,145.0770642
Macrolides,2013,Arkansas,Combined Ages,Combined Gender,212.3188763
Penicillins,2013,Arkansas,Combined Ages,Combined Gender,256.7701389
All classes,2013,California,Combined Ages,Combined Gender,590.680284
All other,2013,California,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,California,Combined Ages,Combined Gender,74.38989136
Fluoroquinolones,2013,California,Combined Ages,Combined Gender,70.71072313
Macrolides,2013,California,Combined Ages,Combined Gender,114.0975239
Penicillins,2013,California,Combined Ages,Combined Gender,148.1818554
All classes,2013,Colorado,Combined Ages,Combined Gender,632.1352554
All other,2013,Colorado,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Colorado,Combined Ages,Combined Gender,88.26116456
Fluoroquinolones,2013,Colorado,Combined Ages,Combined Gender,65.59236704
Macrolides,2013,Colorado,Combined Ages,Combined Gender,112.9059162
Penicillins,2013,Colorado,Combined Ages,Combined Gender,156.7941418
All classes,2013,Connecticut,Combined Ages,Combined Gender,845.2513141
All other,2013,Connecticut,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Connecticut,Combined Ages,Combined Gender,111.127987
Fluoroquinolones,2013,Connecticut,Combined Ages,Combined Gender,97.89959329
Macrolides,2013,Connecticut,Combined Ages,Combined Gender,161.4953404
Penicillins,2013,Connecticut,Combined Ages,Combined Gender,187.6462941
All classes,2013,Delaware,Combined Ages,Combined Gender,974.5999092
All other,2013,Delaware,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Delaware,Combined Ages,Combined Gender,117.9731529
Fluoroquinolones,2013,Delaware,Combined Ages,Combined Gender,127.552073
Macrolides,2013,Delaware,Combined Ages,Combined Gender,182.7151009
Penicillins,2013,Delaware,Combined Ages,Combined Gender,224.3969132
All classes,2013,District Of Columbia,Combined Ages,Combined Gender,1044.049554
All other,2013,District Of Columbia,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,District Of Columbia,Combined Ages,Combined Gender,106.3584348
Fluoroquinolones,2013,District Of Columbia,Combined Ages,Combined Gender,149.7897124
Macrolides,2013,District Of Columbia,Combined Ages,Combined Gender,176.1817778
Penicillins,2013,District Of Columbia,Combined Ages,Combined Gender,224.9289105
All classes,2013,Florida,Combined Ages,Combined Gender,736.3530125
All other,2013,Florida,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Florida,Combined Ages,Combined Gender,87.60055746
Fluoroquinolones,2013,Florida,Combined Ages,Combined Gender,111.2660493
Macrolides,2013,Florida,Combined Ages,Combined Gender,144.795051
Penicillins,2013,Florida,Combined Ages,Combined Gender,148.3560358
All classes,2013,Georgia,Combined Ages,Combined Gender,871.2846553
All other,2013,Georgia,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Georgia,Combined Ages,Combined Gender,114.4329843
Fluoroquinolones,2013,Georgia,Combined Ages,Combined Gender,114.6839699
Macrolides,2013,Georgia,Combined Ages,Combined Gender,156.3773984
Penicillins,2013,Georgia,Combined Ages,Combined Gender,196.4259719
All classes,2013,Hawaii,Combined Ages,Combined Gender,647.8999167
All other,2013,Hawaii,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Hawaii,Combined Ages,Combined Gender,71.82040714
Fluoroquinolones,2013,Hawaii,Combined Ages,Combined Gender,84.63303068
Macrolides,2013,Hawaii,Combined Ages,Combined Gender,134.3516441
Penicillins,2013,Hawaii,Combined Ages,Combined Gender,146.8428098
All classes,2013,Idaho,Combined Ages,Combined Gender,704.8039952
All other,2013,Idaho,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Idaho,Combined Ages,Combined Gender,105.1668389
Fluoroquinolones,2013,Idaho,Combined Ages,Combined Gender,69.90932781
Macrolides,2013,Idaho,Combined Ages,Combined Gender,122.7703378
Penicillins,2013,Idaho,Combined Ages,Combined Gender,163.3862502
All classes,2013,Illinois,Combined Ages,Combined Gender,858.2912966
All other,2013,Illinois,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Illinois,Combined Ages,Combined Gender,101.0901535
Fluoroquinolones,2013,Illinois,Combined Ages,Combined Gender,100.8031068
Macrolides,2013,Illinois,Combined Ages,Combined Gender,168.8312905
Penicillins,2013,Illinois,Combined Ages,Combined Gender,210.3591475
All classes,2013,Indiana,Combined Ages,Combined Gender,987.7713728
All other,2013,Indiana,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Indiana,Combined Ages,Combined Gender,171.5278388
Fluoroquinolones,2013,Indiana,Combined Ages,Combined Gender,114.7383518
Macrolides,2013,Indiana,Combined Ages,Combined Gender,175.6558641
Penicillins,2013,Indiana,Combined Ages,Combined Gender,222.7421849
All classes,2013,Iowa,Combined Ages,Combined Gender,971.1234919
All other,2013,Iowa,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Iowa,Combined Ages,Combined Gender,159.2969824
Fluoroquinolones,2013,Iowa,Combined Ages,Combined Gender,113.1058218
Macrolides,2013,Iowa,Combined Ages,Combined Gender,189.9558069
Penicillins,2013,Iowa,Combined Ages,Combined Gender,206.0170531
All classes,2013,Kansas,Combined Ages,Combined Gender,995.6505575
All other,2013,Kansas,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Kansas,Combined Ages,Combined Gender,156.2993521
Fluoroquinolones,2013,Kansas,Combined Ages,Combined Gender,118.0828102
Macrolides,2013,Kansas,Combined Ages,Combined Gender,190.0914911
Penicillins,2013,Kansas,Combined Ages,Combined Gender,206.2099122
All classes,2013,Kentucky,Combined Ages,Combined Gender,1239.973177
All other,2013,Kentucky,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Kentucky,Combined Ages,Combined Gender,192.8249632
Fluoroquinolones,2013,Kentucky,Combined Ages,Combined Gender,163.1999146
Macrolides,2013,Kentucky,Combined Ages,Combined Gender,233.364628
Penicillins,2013,Kentucky,Combined Ages,Combined Gender,273.6303213
All classes,2013,Louisiana,Combined Ages,Combined Gender,1191.287504
All other,2013,Louisiana,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Louisiana,Combined Ages,Combined Gender,143.8954318
Fluoroquinolones,2013,Louisiana,Combined Ages,Combined Gender,140.0771113
Macrolides,2013,Louisiana,Combined Ages,Combined Gender,247.2840163
Penicillins,2013,Louisiana,Combined Ages,Combined Gender,245.6094679
All classes,2013,Maine,Combined Ages,Combined Gender,725.6004582
All other,2013,Maine,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Maine,Combined Ages,Combined Gender,80.26930794
Fluoroquinolones,2013,Maine,Combined Ages,Combined Gender,81.88940033
Macrolides,2013,Maine,Combined Ages,Combined Gender,142.507274
Penicillins,2013,Maine,Combined Ages,Combined Gender,161.6869471
All classes,2013,Maryland,Combined Ages,Combined Gender,812.9324787
All other,2013,Maryland,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Maryland,Combined Ages,Combined Gender,95.16079934
Fluoroquinolones,2013,Maryland,Combined Ages,Combined Gender,100.4384097
Macrolides,2013,Maryland,Combined Ages,Combined Gender,148.7513372
Penicillins,2013,Maryland,Combined Ages,Combined Gender,193.0022663
Macrolides,2014,National,0-19,Male,Insufficient Data
All classes,2013,Massachusetts,Combined Ages,Combined Gender,773.2711629
All other,2013,Massachusetts,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Massachusetts,Combined Ages,Combined Gender,88.72820536
Fluoroquinolones,2013,Massachusetts,Combined Ages,Combined Gender,87.00503244
Macrolides,2013,Massachusetts,Combined Ages,Combined Gender,129.4351914
Penicillins,2013,Massachusetts,Combined Ages,Combined Gender,194.3075366
All classes,2013,Michigan,Combined Ages,Combined Gender,931.0334381
All other,2013,Michigan,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Michigan,Combined Ages,Combined Gender,129.3348887
Fluoroquinolones,2013,Michigan,Combined Ages,Combined Gender,105.8603192
Macrolides,2013,Michigan,Combined Ages,Combined Gender,173.6388985
Penicillins,2013,Michigan,Combined Ages,Combined Gender,231.2147823
All classes,2013,Minnesota,Combined Ages,Combined Gender,706.7250196
All other,2013,Minnesota,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Minnesota,Combined Ages,Combined Gender,95.82258588
Fluoroquinolones,2013,Minnesota,Combined Ages,Combined Gender,75.91335397
Macrolides,2013,Minnesota,Combined Ages,Combined Gender,128.8273387
Penicillins,2013,Minnesota,Combined Ages,Combined Gender,171.8485207
All classes,2013,Mississippi,Combined Ages,Combined Gender,1224.271708
All other,2013,Mississippi,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Mississippi,Combined Ages,Combined Gender,182.2985951
Fluoroquinolones,2013,Mississippi,Combined Ages,Combined Gender,158.7826406
Macrolides,2013,Mississippi,Combined Ages,Combined Gender,240.3493443
Penicillins,2013,Mississippi,Combined Ages,Combined Gender,234.6128575
All classes,2013,Missouri,Combined Ages,Combined Gender,941.4063005
All other,2013,Missouri,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Missouri,Combined Ages,Combined Gender,133.1672792
Fluoroquinolones,2013,Missouri,Combined Ages,Combined Gender,116.5981303
Macrolides,2013,Missouri,Combined Ages,Combined Gender,164.5585837
Penicillins,2013,Missouri,Combined Ages,Combined Gender,219.5613505
All classes,2013,Montana,Combined Ages,Combined Gender,674.0480793
All other,2013,Montana,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Montana,Combined Ages,Combined Gender,79.19540943
Fluoroquinolones,2013,Montana,Combined Ages,Combined Gender,75.40251699
Macrolides,2013,Montana,Combined Ages,Combined Gender,139.5421554
Penicillins,2013,Montana,Combined Ages,Combined Gender,146.349235
All classes,2013,Nebraska,Combined Ages,Combined Gender,1034.482054
All other,2013,Nebraska,Combined Ages,Combined Gender,Insufficient Data
Cephalosporins,2013,Nebraska,Combined Ages,Combined Gender,176.6241227
Fluoroquinolones,2013,Nebraska,Combined Ages,Combined Gender,122.3905158
Macrolides,2013,Nebraska,Combined Ages,Combined Gender,173.0545771
Penicillins,2013,Nebraska,Combined Ages,Combined Gender,223.0710247
