Phenotype,UnitedStates,EventType,EventYear,AgeCategory,NumberTested,NumberResistant,PercentResistant,Lower95CI,Upper95CI
E. faecalis R* to daptomycin,National,All HAIs,2012, 1-18,21,2,9.5,1.6,28
E. faecalis R* to daptomycin,National,All HAIs,2012,19-64,850,11,1.3,0.6,2.2
E. faecalis R* to daptomycin,National,All HAIs,2012,65+,788,14,1.8,1,2.8
E. faecalis R* to daptomycin,National,All HAIs,2012,All Ages,1701,32,1.9,1.3,2.6
E. faecalis R* to daptomycin,National,All HAIs,2013,<1,53,2,3.8,0.6,11.9
E. faecalis R* to daptomycin,National,All HAIs,2013, 1-18,34,2,5.9,0.9,18.1
E. faecalis R* to daptomycin,National,All HAIs,2013,19-64,1005,15,1.5,0.8,2.3
E. faecalis R* to daptomycin,National,All HAIs,2013,65+,953,16,1.7,0.9,2.6
E. faecalis R* to daptomycin,National,All HAIs,2013,All Ages,2045,35,1.7,1.2,2.3
E. faecalis R* to daptomycin,National,All HAIs,2014,<1,61,2,3.3,0.5,10.4
E. faecalis R* to daptomycin,National,All HAIs,2014, 1-18,28,0,0,0,10.1
E. faecalis R* to daptomycin,National,All HAIs,2014,19-64,1072,25,2.3,1.5,3.3
E. faecalis R* to daptomycin,National,All HAIs,2014,65+,1004,26,2.6,1.7,3.7
E. faecalis R* to daptomycin,National,All HAIs,2014,All Ages,2165,53,2.4,1.8,3.1
E. faecalis R* to daptomycin,National,All HAIs,All Years,<1,226,14,6.2,3.5,9.9
E. faecalis R* to daptomycin,National,All HAIs,All Years, 1-18,101,4,4,1.2,9.2
E. faecalis R* to daptomycin,National,All HAIs,All Years,19-64,3339,61,1.8,1.4,2.3
E. faecalis R* to daptomycin,National,All HAIs,All Years,65+,3123,69,2.2,1.7,2.7
E. faecalis R* to daptomycin,National,All HAIs,All Years,All Ages,6789,148,2.2,1.8,2.5
E. faecalis R* to daptomycin,National,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CAUTI,2011,19-64,117,2,1.7,0.2,5.5
E. faecalis R* to daptomycin,National,CAUTI,2011,65+,140,5,3.6,1.3,7.7
E. faecalis R* to daptomycin,National,CAUTI,2011,All Ages,262,7,2.7,1.1,5.2
E. faecalis R* to daptomycin,National,CAUTI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CAUTI,2012,19-64,236,2,0.8,0.1,2.7
E. faecalis R* to daptomycin,National,CAUTI,2012,65+,301,6,2,0.8,4
E. faecalis R* to daptomycin,National,CAUTI,2012,All Ages,544,9,1.7,0.8,3
E. faecalis R* to daptomycin,National,CAUTI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CAUTI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CAUTI,2013,19-64,307,5,1.6,0.5,3.5
E. faecalis R* to daptomycin,National,CAUTI,2013,65+,374,6,1.6,0.6,3.3
E. faecalis R* to daptomycin,National,CAUTI,2013,All Ages,690,12,1.7,0.9,2.9
E. faecalis R* to daptomycin,National,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CAUTI,2014,19-64,336,4,1.2,0.3,2.8
E. faecalis R* to daptomycin,National,CAUTI,2014,65+,420,7,1.7,0.7,3.2
E. faecalis R* to daptomycin,National,CAUTI,2014,All Ages,770,11,1.4,0.7,2.4
E. faecalis R* to daptomycin,National,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CAUTI,All Years, 1-18,27,0,0,0,10.5
E. faecalis R* to daptomycin,National,CAUTI,All Years,19-64,996,13,1.3,0.7,2.1
E. faecalis R* to daptomycin,National,CAUTI,All Years,65+,1235,24,1.9,1.2,2.8
E. faecalis R* to daptomycin,National,CAUTI,All Years,All Ages,2266,39,1.7,1.2,2.3
E. faecalis R* to daptomycin,National,CLABSI,2011,<1,64,5,7.8,2.9,16.4
E. faecalis R* to daptomycin,National,CLABSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CLABSI,2011,19-64,179,8,4.5,2,8.3
E. faecalis R* to daptomycin,National,CLABSI,2011,65+,132,6,4.5,1.8,9.2
E. faecalis R* to daptomycin,National,CLABSI,2011,All Ages,389,19,4.9,3,7.3
E. faecalis R* to daptomycin,National,CLABSI,2012,<1,39,4,10.3,3.3,22.9
E. faecalis R* to daptomycin,National,CLABSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CLABSI,2012,19-64,223,5,2.2,0.8,4.8
E. faecalis R* to daptomycin,National,CLABSI,2012,65+,207,5,2.4,0.8,5.2
E. faecalis R* to daptomycin,National,CLABSI,2012,All Ages,482,16,3.3,1.9,5.2
E. faecalis R* to daptomycin,National,CLABSI,2013,<1,49,1,2,0.1,9.6
E. faecalis R* to daptomycin,National,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CLABSI,2013,19-64,240,4,1.7,0.5,3.9
E. faecalis R* to daptomycin,National,CLABSI,2013,65+,205,4,2,0.6,4.6
E. faecalis R* to daptomycin,National,CLABSI,2013,All Ages,513,11,2.1,1.1,3.6
E. faecalis R* to daptomycin,National,CLABSI,2014,<1,51,2,3.9,0.6,12.3
E. faecalis R* to daptomycin,National,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,CLABSI,2014,19-64,232,8,3.4,1.6,6.4
E. faecalis R* to daptomycin,National,CLABSI,2014,65+,217,7,3.2,1.4,6.2
E. faecalis R* to daptomycin,National,CLABSI,2014,All Ages,514,17,3.3,2,5.1
E. faecalis R* to daptomycin,National,CLABSI,All Years,<1,203,12,5.9,3.2,9.8
E. faecalis R* to daptomycin,National,CLABSI,All Years, 1-18,60,4,6.7,2.1,15.3
E. faecalis R* to daptomycin,National,CLABSI,All Years,19-64,874,25,2.9,1.9,4.1
E. faecalis R* to daptomycin,National,CLABSI,All Years,65+,761,22,2.9,1.8,4.2
E. faecalis R* to daptomycin,National,CLABSI,All Years,All Ages,1898,63,3.3,2.5,4.1
E. faecalis R* to daptomycin,National,SSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,SSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,SSI,2011,19-64,116,0,0,0,2.5
E. faecalis R* to daptomycin,National,SSI,2011,65+,106,2,1.9,0.3,6
E. faecalis R* to daptomycin,National,SSI,2011,All Ages,227,2,0.9,0.1,2.8
E. faecalis R* to daptomycin,National,SSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,SSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,SSI,2012,19-64,391,4,1,0.3,2.4
E. faecalis R* to daptomycin,National,SSI,2012,65+,280,3,1.1,0.2,2.8
E. faecalis R* to daptomycin,National,SSI,2012,All Ages,675,7,1,0.4,2
E. faecalis R* to daptomycin,National,SSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,SSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,SSI,2013,19-64,458,6,1.3,0.5,2.7
E. faecalis R* to daptomycin,National,SSI,2013,65+,374,6,1.6,0.6,3.3
E. faecalis R* to daptomycin,National,SSI,2013,All Ages,842,12,1.4,0.7,2.4
E. faecalis R* to daptomycin,National,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,SSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,SSI,2014,19-64,504,13,2.6,1.4,4.2
E. faecalis R* to daptomycin,National,SSI,2014,65+,367,12,3.3,1.7,5.4
E. faecalis R* to daptomycin,National,SSI,2014,All Ages,881,25,2.8,1.8,4
E. faecalis R* to daptomycin,National,SSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,SSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R* to daptomycin,National,SSI,All Years,19-64,1469,23,1.6,1,2.3
E. faecalis R* to daptomycin,National,SSI,All Years,65+,1127,23,2,1.3,2.9
E. faecalis R* to daptomycin,National,SSI,All Years,All Ages,2625,46,1.8,1.3,2.3
E. faecalis R to vancomycin,National,All HAIs,2011,<1,284,1,0.4,0,1.7
E. faecalis R to vancomycin,National,All HAIs,2011, 1-18,108,0,0,0,2.7
E. faecalis R to vancomycin,National,All HAIs,2011,19-64,1946,154,7.9,6.7,9.1
E. faecalis R to vancomycin,National,All HAIs,2011,65+,2012,184,9.1,7.9,10.4
E. faecalis R to vancomycin,National,All HAIs,2011,All Ages,4350,339,7.8,7,8.6
E. faecalis R to vancomycin,National,All HAIs,2012,<1,260,3,1.2,0.2,3.1
E. faecalis R to vancomycin,National,All HAIs,2012, 1-18,138,2,1.4,0.2,4.7
E. faecalis R to vancomycin,National,All HAIs,2012,19-64,3566,212,5.9,5.2,6.7
E. faecalis R to vancomycin,National,All HAIs,2012,65+,3411,285,8.4,7.4,9.3
E. faecalis R to vancomycin,National,All HAIs,2012,All Ages,7375,502,6.8,6.2,7.3
E. faecalis R to vancomycin,National,All HAIs,2013,<1,247,0,0,0,1.2
E. faecalis R to vancomycin,National,All HAIs,2013, 1-18,153,2,1.3,0.2,4.2
E. faecalis R to vancomycin,National,All HAIs,2013,19-64,3902,241,6.2,5.4,6.9
E. faecalis R to vancomycin,National,All HAIs,2013,65+,3804,321,8.4,7.5,9.3
E. faecalis R to vancomycin,National,All HAIs,2013,All Ages,8106,564,7,6.4,7.5
E. faecalis R to vancomycin,National,All HAIs,2014,<1,263,1,0.4,0,1.8
E. faecalis R to vancomycin,National,All HAIs,2014, 1-18,173,1,0.6,0,2.8
E. faecalis R to vancomycin,National,All HAIs,2014,19-64,3974,230,5.8,5,6.5
E. faecalis R to vancomycin,National,All HAIs,2014,65+,3784,306,8.1,7.2,8.9
E. faecalis R to vancomycin,National,All HAIs,2014,All Ages,8194,538,6.6,6,7.1
E. faecalis R to vancomycin,National,All HAIs,All Years,<1,1054,5,0.5,0.1,1
E. faecalis R to vancomycin,National,All HAIs,All Years, 1-18,572,5,0.9,0.3,1.9
E. faecalis R to vancomycin,National,All HAIs,All Years,19-64,13388,837,6.3,5.8,6.6
E. faecalis R to vancomycin,National,All HAIs,All Years,65+,13011,1096,8.4,7.9,8.9
E. faecalis R to vancomycin,National,All HAIs,All Years,All Ages,28025,1943,6.9,6.6,7.2
E. faecalis R to vancomycin,National,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R to vancomycin,National,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R to vancomycin,National,CAUTI,2011,19-64,554,39,7,5.1,9.4
E. faecalis R to vancomycin,National,CAUTI,2011,65+,793,58,7.3,5.6,9.2
E. faecalis R to vancomycin,National,CAUTI,2011,All Ages,1374,97,7.1,5.7,8.5
E. faecalis R to vancomycin,National,CAUTI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R to vancomycin,National,CAUTI,2012, 1-18,33,0,0,0,8.6
E. faecalis R to vancomycin,National,CAUTI,2012,19-64,1157,76,6.6,5.2,8.1
E. faecalis R to vancomycin,National,CAUTI,2012,65+,1484,122,8.2,6.9,9.7
E. faecalis R to vancomycin,National,CAUTI,2012,All Ages,2683,198,7.4,6.4,8.4
E. faecalis R to vancomycin,National,CAUTI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R to vancomycin,National,CAUTI,2013, 1-18,37,1,2.7,0.1,12.6
E. faecalis R to vancomycin,National,CAUTI,2013,19-64,1265,104,8.2,6.8,9.8
E. faecalis R to vancomycin,National,CAUTI,2013,65+,1565,157,10,8.6,11.5
E. faecalis R to vancomycin,National,CAUTI,2013,All Ages,2878,262,9.1,8,10.1
E. faecalis R to vancomycin,National,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R to vancomycin,National,CAUTI,2014, 1-18,55,1,1.8,0,8.6
E. faecalis R to vancomycin,National,CAUTI,2014,19-64,1336,102,7.6,6.2,9.1
E. faecalis R to vancomycin,National,CAUTI,2014,65+,1641,139,8.5,7.1,9.8
E. faecalis R to vancomycin,National,CAUTI,2014,All Ages,3038,242,8,7,8.9
E. faecalis R to vancomycin,National,CAUTI,All Years,<1,37,0,0,0,7.7
E. faecalis R to vancomycin,National,CAUTI,All Years, 1-18,141,2,1.4,0.2,4.6
E. faecalis R to vancomycin,National,CAUTI,All Years,19-64,4312,321,7.4,6.6,8.2
E. faecalis R to vancomycin,National,CAUTI,All Years,65+,5483,476,8.7,7.9,9.4
E. faecalis R to vancomycin,National,CAUTI,All Years,All Ages,9973,799,8,7.4,8.5
E. faecalis R to vancomycin,National,CLABSI,2011,<1,266,0,0,0,1.1
E. faecalis R to vancomycin,National,CLABSI,2011, 1-18,77,0,0,0,3.8
E. faecalis R to vancomycin,National,CLABSI,2011,19-64,806,93,11.5,9.4,13.8
E. faecalis R to vancomycin,National,CLABSI,2011,65+,706,90,12.7,10.4,15.3
E. faecalis R to vancomycin,National,CLABSI,2011,All Ages,1855,183,9.9,8.5,11.2
E. faecalis R to vancomycin,National,CLABSI,2012,<1,242,3,1.2,0.3,3.3
E. faecalis R to vancomycin,National,CLABSI,2012, 1-18,85,2,2.4,0.3,7.5
E. faecalis R to vancomycin,National,CLABSI,2012,19-64,835,86,10.3,8.3,12.5
E. faecalis R to vancomycin,National,CLABSI,2012,65+,776,105,13.5,11.2,16
E. faecalis R to vancomycin,National,CLABSI,2012,All Ages,1938,196,10.1,8.8,11.5
E. faecalis R to vancomycin,National,CLABSI,2013,<1,226,0,0,0,1.3
E. faecalis R to vancomycin,National,CLABSI,2013, 1-18,84,1,1.2,0,5.7
E. faecalis R to vancomycin,National,CLABSI,2013,19-64,837,82,9.8,7.9,11.9
E. faecalis R to vancomycin,National,CLABSI,2013,65+,823,100,12.2,10,14.5
E. faecalis R to vancomycin,National,CLABSI,2013,All Ages,1970,183,9.3,8,10.6
E. faecalis R to vancomycin,National,CLABSI,2014,<1,238,1,0.4,0,2
E. faecalis R to vancomycin,National,CLABSI,2014, 1-18,86,0,0,0,3.4
E. faecalis R to vancomycin,National,CLABSI,2014,19-64,765,78,10.2,8.1,12.4
E. faecalis R to vancomycin,National,CLABSI,2014,65+,739,100,13.5,11.2,16.1
E. faecalis R to vancomycin,National,CLABSI,2014,All Ages,1828,179,9.8,8.4,11.2
E. faecalis R to vancomycin,National,CLABSI,All Years,<1,972,4,0.4,0.1,0.9
E. faecalis R to vancomycin,National,CLABSI,All Years, 1-18,332,3,0.9,0.2,2.4
E. faecalis R to vancomycin,National,CLABSI,All Years,19-64,3243,339,10.5,9.4,11.5
E. faecalis R to vancomycin,National,CLABSI,All Years,65+,3044,395,13,11.8,14.2
E. faecalis R to vancomycin,National,CLABSI,All Years,All Ages,7591,741,9.8,9.1,10.4
E. faecalis R to vancomycin,National,SSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R to vancomycin,National,SSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R to vancomycin,National,SSI,2011,19-64,586,22,3.8,2.4,5.5
E. faecalis R to vancomycin,National,SSI,2011,65+,513,36,7,5,9.4
E. faecalis R to vancomycin,National,SSI,2011,All Ages,1121,59,5.3,4,6.6
E. faecalis R to vancomycin,National,SSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R to vancomycin,National,SSI,2012, 1-18,20,0,0,0,13.9
E. faecalis R to vancomycin,National,SSI,2012,19-64,1574,50,3.2,2.3,4.1
E. faecalis R to vancomycin,National,SSI,2012,65+,1151,58,5,3.8,6.4
E. faecalis R to vancomycin,National,SSI,2012,All Ages,2754,108,3.9,3.2,4.6
E. faecalis R to vancomycin,National,SSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R to vancomycin,National,SSI,2013, 1-18,32,0,0,0,8.9
E. faecalis R to vancomycin,National,SSI,2013,19-64,1800,55,3.1,2.3,3.9
E. faecalis R to vancomycin,National,SSI,2013,65+,1416,64,4.5,3.5,5.6
E. faecalis R to vancomycin,National,SSI,2013,All Ages,3258,119,3.7,3,4.3
E. faecalis R to vancomycin,National,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecalis R to vancomycin,National,SSI,2014, 1-18,32,0,0,0,8.9
E. faecalis R to vancomycin,National,SSI,2014,19-64,1873,50,2.7,2,3.4
E. faecalis R to vancomycin,National,SSI,2014,65+,1404,67,4.8,3.7,5.9
E. faecalis R to vancomycin,National,SSI,2014,All Ages,3328,117,3.5,2.9,4.1
E. faecalis R to vancomycin,National,SSI,All Years,<1,45,1,2.2,0.1,10.4
E. faecalis R to vancomycin,National,SSI,All Years, 1-18,99,0,0,0,2.9
E. faecalis R to vancomycin,National,SSI,All Years,19-64,5833,177,3,2.6,3.4
E. faecalis R to vancomycin,National,SSI,All Years,65+,4484,225,5,4.4,5.6
E. faecalis R to vancomycin,National,SSI,All Years,All Ages,10461,403,3.9,3.4,4.2
E. faecium R* to daptomycin,National,All HAIs,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,All HAIs,2011, 1-18,27,1,3.7,0.1,16.9
E. faecium R* to daptomycin,National,All HAIs,2011,19-64,423,26,6.1,4.1,8.7
E. faecium R* to daptomycin,National,All HAIs,2011,65+,294,14,4.8,2.7,7.6
E. faecium R* to daptomycin,National,All HAIs,2011,All Ages,750,41,5.5,4,7.2
E. faecium R* to daptomycin,National,All HAIs,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,All HAIs,2012, 1-18,26,1,3.8,0.1,17.5
E. faecium R* to daptomycin,National,All HAIs,2012,19-64,595,30,5,3.4,7
E. faecium R* to daptomycin,National,All HAIs,2012,65+,536,29,5.4,3.7,7.5
E. faecium R* to daptomycin,National,All HAIs,2012,All Ages,1161,61,5.3,4,6.6
E. faecium R* to daptomycin,National,All HAIs,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,All HAIs,2013, 1-18,22,1,4.5,0.2,20.4
E. faecium R* to daptomycin,National,All HAIs,2013,19-64,723,50,6.9,5.2,8.9
E. faecium R* to daptomycin,National,All HAIs,2013,65+,652,30,4.6,3.1,6.4
E. faecium R* to daptomycin,National,All HAIs,2013,All Ages,1408,82,5.8,4.6,7.1
E. faecium R* to daptomycin,National,All HAIs,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,All HAIs,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,All HAIs,2014,19-64,806,69,8.6,6.7,10.6
E. faecium R* to daptomycin,National,All HAIs,2014,65+,645,43,6.7,4.9,8.7
E. faecium R* to daptomycin,National,All HAIs,2014,All Ages,1471,113,7.7,6.4,9.1
E. faecium R* to daptomycin,National,All HAIs,All Years,<1,25,3,12,3.1,29.2
E. faecium R* to daptomycin,National,All HAIs,All Years, 1-18,91,3,3.3,0.8,8.7
E. faecium R* to daptomycin,National,All HAIs,All Years,19-64,2547,175,6.9,5.9,7.9
E. faecium R* to daptomycin,National,All HAIs,All Years,65+,2127,116,5.5,4.5,6.4
E. faecium R* to daptomycin,National,All HAIs,All Years,All Ages,4790,297,6.2,5.5,6.9
E. faecium R* to daptomycin,National,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,CAUTI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
E. faecium R* to daptomycin,National,CAUTI,2011,19-64,56,4,7.1,2.3,16.3
E. faecium R* to daptomycin,National,CAUTI,2011,65+,65,4,6.2,1.9,14.1
E. faecium R* to daptomycin,National,CAUTI,2011,All Ages,122,8,6.6,3,12
E. faecium R* to daptomycin,National,CAUTI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
E. faecium R* to daptomycin,National,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,CAUTI,2012,19-64,138,7,5.1,2.2,9.7
E. faecium R* to daptomycin,National,CAUTI,2012,65+,146,6,4.1,1.6,8.3
E. faecium R* to daptomycin,National,CAUTI,2012,All Ages,288,13,4.5,2.5,7.4
E. faecium R* to daptomycin,National,CAUTI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
E. faecium R* to daptomycin,National,CAUTI,2013, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
E. faecium R* to daptomycin,National,CAUTI,2013,19-64,171,12,7,3.8,11.6
E. faecium R* to daptomycin,National,CAUTI,2013,65+,197,9,4.6,2.2,8.2
E. faecium R* to daptomycin,National,CAUTI,2013,All Ages,368,21,5.7,3.6,8.4
E. faecium R* to daptomycin,National,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,CAUTI,2014, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
E. faecium R* to daptomycin,National,CAUTI,2014,19-64,191,22,11.5,7.5,16.6
E. faecium R* to daptomycin,National,CAUTI,2014,65+,165,14,8.5,4.9,13.5
E. faecium R* to daptomycin,National,CAUTI,2014,All Ages,357,36,10.1,7.2,13.5
E. faecium R* to daptomycin,National,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,CAUTI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,CAUTI,All Years,19-64,556,45,8.1,6,10.5
E. faecium R* to daptomycin,National,CAUTI,All Years,65+,573,33,5.8,4,7.9
E. faecium R* to daptomycin,National,CAUTI,All Years,All Ages,1135,78,6.9,5.5,8.4
E. faecium R* to daptomycin,National,CLABSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,CLABSI,2011, 1-18,27,1,3.7,0.1,16.9
E. faecium R* to daptomycin,National,CLABSI,2011,19-64,318,19,6,3.7,9
E. faecium R* to daptomycin,National,CLABSI,2011,65+,180,6,3.3,1.3,6.8
E. faecium R* to daptomycin,National,CLABSI,2011,All Ages,530,26,4.9,3.2,7
E. faecium R* to daptomycin,National,CLABSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,CLABSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,CLABSI,2012,19-64,297,16,5.4,3.2,8.4
E. faecium R* to daptomycin,National,CLABSI,2012,65+,254,16,6.3,3.7,9.8
E. faecium R* to daptomycin,National,CLABSI,2012,All Ages,574,34,5.9,4.2,8
E. faecium R* to daptomycin,National,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,CLABSI,2013,19-64,375,33,8.8,6.2,11.9
E. faecium R* to daptomycin,National,CLABSI,2013,65+,288,10,3.5,1.7,6.1
E. faecium R* to daptomycin,National,CLABSI,2013,All Ages,692,45,6.5,4.8,8.5
E. faecium R* to daptomycin,National,CLABSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,CLABSI,2014,19-64,433,39,9,6.5,11.9
E. faecium R* to daptomycin,National,CLABSI,2014,65+,299,19,6.4,3.9,9.5
E. faecium R* to daptomycin,National,CLABSI,2014,All Ages,749,59,7.9,6.1,9.9
E. faecium R* to daptomycin,National,CLABSI,All Years,<1,22,3,13.6,3.5,32.7
E. faecium R* to daptomycin,National,CLABSI,All Years, 1-18,79,3,3.8,0.9,9.9
E. faecium R* to daptomycin,National,CLABSI,All Years,19-64,1423,107,7.5,6.2,8.9
E. faecium R* to daptomycin,National,CLABSI,All Years,65+,1021,51,5,3.7,6.4
E. faecium R* to daptomycin,National,CLABSI,All Years,All Ages,2545,164,6.4,5.5,7.4
E. faecium R* to daptomycin,National,SSI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
E. faecium R* to daptomycin,National,SSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
E. faecium R* to daptomycin,National,SSI,2011,19-64,49,3,6.1,1.5,15.7
E. faecium R* to daptomycin,National,SSI,2011,65+,49,4,8.2,2.6,18.5
E. faecium R* to daptomycin,National,SSI,2011,All Ages,98,7,7.1,3.1,13.6
E. faecium R* to daptomycin,National,SSI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
E. faecium R* to daptomycin,National,SSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,SSI,2012,19-64,160,7,4.4,1.9,8.4
E. faecium R* to daptomycin,National,SSI,2012,65+,136,7,5.1,2.2,9.9
E. faecium R* to daptomycin,National,SSI,2012,All Ages,299,14,4.7,2.6,7.5
E. faecium R* to daptomycin,National,SSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,SSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E. faecium R* to daptomycin,National,SSI,2013,19-64,177,5,2.8,1,6.1
E. faecium R* to daptomycin,National,SSI,2013,65+,167,11,6.6,3.5,11.1
E. faecium R* to daptomycin,National,SSI,2013,All Ages,348,16,4.6,2.7,7.2
E. faecium R* to daptomycin,National,SSI,2014,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
