Phenotype,Region,EventType,EventYear,AgeCategory,NumberTested,NumberResistant,PercentResistant,Lower95CI,Upper95CI
E.coli MDR,East_South_Central,SSI,2013,All Ages,321,17,5.3,3.2,8.1
E.coli MDR,East_South_Central,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,East_South_Central,SSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,East_South_Central,SSI,2014,19-64,211,12,5.7,3.1,9.4
E.coli MDR,East_South_Central,SSI,2014,65+,112,10,8.9,4.6,15.3
E.coli MDR,East_South_Central,SSI,2014,All Ages,328,22,6.7,4.3,9.8
E.coli MDR,East_South_Central,SSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,East_South_Central,SSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,East_South_Central,SSI,All Years,19-64,677,30,4.4,3,6.1
E.coli MDR,East_South_Central,SSI,All Years,65+,341,28,8.2,5.6,11.4
E.coli MDR,East_South_Central,SSI,All Years,All Ages,1036,58,5.6,4.3,7.1
E.coli MDR,Middle_Atlantic,All HAIs,2011,<1,30,1,3.3,0.1,15.3
E.coli MDR,Middle_Atlantic,All HAIs,2011, 1-18,35,2,5.7,0.9,17.6
E.coli MDR,Middle_Atlantic,All HAIs,2011,19-64,801,31,3.9,2.6,5.3
E.coli MDR,Middle_Atlantic,All HAIs,2011,65+,951,54,5.7,4.3,7.2
E.coli MDR,Middle_Atlantic,All HAIs,2011,All Ages,1817,88,4.8,3.9,5.9
E.coli MDR,Middle_Atlantic,All HAIs,2012,<1,33,0,0,0,8.6
E.coli MDR,Middle_Atlantic,All HAIs,2012, 1-18,62,6,9.7,4,19
E.coli MDR,Middle_Atlantic,All HAIs,2012,19-64,1226,83,6.8,5.4,8.2
E.coli MDR,Middle_Atlantic,All HAIs,2012,65+,1369,87,6.4,5.1,7.7
E.coli MDR,Middle_Atlantic,All HAIs,2012,All Ages,2690,176,6.5,5.6,7.5
E.coli MDR,Middle_Atlantic,All HAIs,2013,<1,24,2,8.3,1.4,24.8
E.coli MDR,Middle_Atlantic,All HAIs,2013, 1-18,53,2,3.8,0.6,11.9
E.coli MDR,Middle_Atlantic,All HAIs,2013,19-64,1387,108,7.8,6.4,9.2
E.coli MDR,Middle_Atlantic,All HAIs,2013,65+,1537,143,9.3,7.9,10.8
E.coli MDR,Middle_Atlantic,All HAIs,2013,All Ages,3001,255,8.5,7.5,9.5
E.coli MDR,Middle_Atlantic,All HAIs,2014,<1,36,1,2.8,0.1,12.9
E.coli MDR,Middle_Atlantic,All HAIs,2014, 1-18,59,4,6.8,2.1,15.5
E.coli MDR,Middle_Atlantic,All HAIs,2014,19-64,1341,92,6.9,5.5,8.3
E.coli MDR,Middle_Atlantic,All HAIs,2014,65+,1465,104,7.1,5.8,8.5
E.coli MDR,Middle_Atlantic,All HAIs,2014,All Ages,2901,201,6.9,6,7.8
E.coli MDR,Middle_Atlantic,All HAIs,All Years,<1,123,4,3.3,1,7.6
E.coli MDR,Middle_Atlantic,All HAIs,All Years, 1-18,209,14,6.7,3.8,10.7
E.coli MDR,Middle_Atlantic,All HAIs,All Years,19-64,4755,314,6.6,5.9,7.3
E.coli MDR,Middle_Atlantic,All HAIs,All Years,65+,5322,388,7.3,6.6,8
E.coli MDR,Middle_Atlantic,All HAIs,All Years,All Ages,10409,720,6.9,6.4,7.4
E.coli MDR,Middle_Atlantic,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,CAUTI,2011, 1-18,21,2,9.5,1.6,28
E.coli MDR,Middle_Atlantic,CAUTI,2011,19-64,476,16,3.4,2,5.2
E.coli MDR,Middle_Atlantic,CAUTI,2011,65+,676,37,5.5,3.9,7.3
E.coli MDR,Middle_Atlantic,CAUTI,2011,All Ages,1180,55,4.7,3.5,5.9
E.coli MDR,Middle_Atlantic,CAUTI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,CAUTI,2012, 1-18,40,3,7.5,1.9,19
E.coli MDR,Middle_Atlantic,CAUTI,2012,19-64,713,45,6.3,4.6,8.2
E.coli MDR,Middle_Atlantic,CAUTI,2012,65+,986,57,5.8,4.4,7.3
E.coli MDR,Middle_Atlantic,CAUTI,2012,All Ages,1744,105,6,4.9,7.2
E.coli MDR,Middle_Atlantic,CAUTI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,CAUTI,2013, 1-18,24,1,4.2,0.2,18.8
E.coli MDR,Middle_Atlantic,CAUTI,2013,19-64,714,63,8.8,6.9,11
E.coli MDR,Middle_Atlantic,CAUTI,2013,65+,1011,100,9.9,8.1,11.8
E.coli MDR,Middle_Atlantic,CAUTI,2013,All Ages,1752,165,9.4,8.1,10.8
E.coli MDR,Middle_Atlantic,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,CAUTI,2014, 1-18,23,2,8.7,1.4,25.8
E.coli MDR,Middle_Atlantic,CAUTI,2014,19-64,661,47,7.1,5.3,9.2
E.coli MDR,Middle_Atlantic,CAUTI,2014,65+,937,65,6.9,5.4,8.7
E.coli MDR,Middle_Atlantic,CAUTI,2014,All Ages,1624,114,7,5.8,8.3
E.coli MDR,Middle_Atlantic,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,CAUTI,All Years, 1-18,108,8,7.4,3.4,13.5
E.coli MDR,Middle_Atlantic,CAUTI,All Years,19-64,2564,171,6.7,5.7,7.6
E.coli MDR,Middle_Atlantic,CAUTI,All Years,65+,3610,259,7.2,6.3,8
E.coli MDR,Middle_Atlantic,CAUTI,All Years,All Ages,6300,439,7,6.3,7.6
E.coli MDR,Middle_Atlantic,CLABSI,2011,<1,21,1,4.8,0.2,21.3
E.coli MDR,Middle_Atlantic,CLABSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,CLABSI,2011,19-64,70,5,7.1,2.6,15.1
E.coli MDR,Middle_Atlantic,CLABSI,2011,65+,42,5,11.9,4.4,24.4
E.coli MDR,Middle_Atlantic,CLABSI,2011,All Ages,146,11,7.5,4,12.7
E.coli MDR,Middle_Atlantic,CLABSI,2012,<1,25,0,0,0,11.2
E.coli MDR,Middle_Atlantic,CLABSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,CLABSI,2012,19-64,70,13,18.6,10.7,28.9
E.coli MDR,Middle_Atlantic,CLABSI,2012,65+,48,10,20.8,11,34
E.coli MDR,Middle_Atlantic,CLABSI,2012,All Ages,155,25,16.1,10.9,22.5
E.coli MDR,Middle_Atlantic,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,CLABSI,2013,19-64,87,13,14.9,8.5,23.6
E.coli MDR,Middle_Atlantic,CLABSI,2013,65+,68,9,13.2,6.6,22.8
E.coli MDR,Middle_Atlantic,CLABSI,2013,All Ages,192,24,12.5,8.3,17.7
E.coli MDR,Middle_Atlantic,CLABSI,2014,<1,27,1,3.7,0.1,16.9
E.coli MDR,Middle_Atlantic,CLABSI,2014, 1-18,20,1,5,0.2,22.2
E.coli MDR,Middle_Atlantic,CLABSI,2014,19-64,95,18,18.9,12,27.7
E.coli MDR,Middle_Atlantic,CLABSI,2014,65+,80,12,15,8.3,24.1
E.coli MDR,Middle_Atlantic,CLABSI,2014,All Ages,222,32,14.4,10.2,19.5
E.coli MDR,Middle_Atlantic,CLABSI,All Years,<1,91,3,3.3,0.8,8.7
E.coli MDR,Middle_Atlantic,CLABSI,All Years, 1-18,64,4,6.3,2,14.3
E.coli MDR,Middle_Atlantic,CLABSI,All Years,19-64,322,49,15.2,11.6,19.4
E.coli MDR,Middle_Atlantic,CLABSI,All Years,65+,238,36,15.1,10.9,20.1
E.coli MDR,Middle_Atlantic,CLABSI,All Years,All Ages,715,92,12.9,10.5,15.4
E.coli MDR,Middle_Atlantic,SSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,SSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,SSI,2011,19-64,255,10,3.9,2,6.8
E.coli MDR,Middle_Atlantic,SSI,2011,65+,233,12,5.2,2.8,8.5
E.coli MDR,Middle_Atlantic,SSI,2011,All Ages,491,22,4.5,2.9,6.5
E.coli MDR,Middle_Atlantic,SSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,SSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,SSI,2012,19-64,443,25,5.6,3.7,8
E.coli MDR,Middle_Atlantic,SSI,2012,65+,335,20,6,3.7,8.9
E.coli MDR,Middle_Atlantic,SSI,2012,All Ages,791,46,5.8,4.3,7.6
E.coli MDR,Middle_Atlantic,SSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,SSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,SSI,2013,19-64,586,32,5.5,3.8,7.5
E.coli MDR,Middle_Atlantic,SSI,2013,65+,458,34,7.4,5.2,10.1
E.coli MDR,Middle_Atlantic,SSI,2013,All Ages,1057,66,6.2,4.9,7.8
E.coli MDR,Middle_Atlantic,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,SSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,SSI,2014,19-64,585,27,4.6,3.1,6.5
E.coli MDR,Middle_Atlantic,SSI,2014,65+,448,27,6,4,8.5
E.coli MDR,Middle_Atlantic,SSI,2014,All Ages,1055,55,5.2,3.9,6.6
E.coli MDR,Middle_Atlantic,SSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Middle_Atlantic,SSI,All Years, 1-18,37,2,5.4,0.9,16.7
E.coli MDR,Middle_Atlantic,SSI,All Years,19-64,1869,94,5,4.1,6
E.coli MDR,Middle_Atlantic,SSI,All Years,65+,1474,93,6.3,5.1,7.6
E.coli MDR,Middle_Atlantic,SSI,All Years,All Ages,3394,189,5.6,4.8,6.3
E.coli MDR,Mountain,All HAIs,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,All HAIs,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,All HAIs,2011,19-64,142,15,10.6,6.2,16.4
E.coli MDR,Mountain,All HAIs,2011,65+,149,15,10.1,5.9,15.7
E.coli MDR,Mountain,All HAIs,2011,All Ages,307,30,9.8,6.8,13.4
E.coli MDR,Mountain,All HAIs,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,All HAIs,2012, 1-18,23,1,4.3,0.2,19.6
E.coli MDR,Mountain,All HAIs,2012,19-64,442,33,7.5,5.2,10.2
E.coli MDR,Mountain,All HAIs,2012,65+,358,33,9.2,6.5,12.5
E.coli MDR,Mountain,All HAIs,2012,All Ages,837,67,8,6.3,9.9
E.coli MDR,Mountain,All HAIs,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,All HAIs,2013, 1-18,29,1,3.4,0.1,15.8
E.coli MDR,Mountain,All HAIs,2013,19-64,496,36,7.3,5.2,9.8
E.coli MDR,Mountain,All HAIs,2013,65+,384,28,7.3,4.9,10.2
E.coli MDR,Mountain,All HAIs,2013,All Ages,922,67,7.3,5.7,9
E.coli MDR,Mountain,All HAIs,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,All HAIs,2014, 1-18,26,1,3.8,0.1,17.5
E.coli MDR,Mountain,All HAIs,2014,19-64,502,36,7.2,5.1,9.6
E.coli MDR,Mountain,All HAIs,2014,65+,389,28,7.2,4.9,10
E.coli MDR,Mountain,All HAIs,2014,All Ages,931,65,7,5.4,8.7
E.coli MDR,Mountain,All HAIs,All Years,<1,50,2,4,0.6,12.5
E.coli MDR,Mountain,All HAIs,All Years, 1-18,85,3,3.5,0.9,9.3
E.coli MDR,Mountain,All HAIs,All Years,19-64,1582,120,7.6,6.3,8.9
E.coli MDR,Mountain,All HAIs,All Years,65+,1280,104,8.1,6.7,9.7
E.coli MDR,Mountain,All HAIs,All Years,All Ages,2997,229,7.6,6.7,8.6
E.coli MDR,Mountain,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CAUTI,2011,19-64,92,7,7.6,3.3,14.4
E.coli MDR,Mountain,CAUTI,2011,65+,122,13,10.7,6,17.1
E.coli MDR,Mountain,CAUTI,2011,All Ages,222,20,9,5.7,13.3
E.coli MDR,Mountain,CAUTI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
E.coli MDR,Mountain,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CAUTI,2012,19-64,298,23,7.7,5,11.1
E.coli MDR,Mountain,CAUTI,2012,65+,263,25,9.5,6.3,13.5
E.coli MDR,Mountain,CAUTI,2012,All Ages,576,48,8.3,6.2,10.8
E.coli MDR,Mountain,CAUTI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CAUTI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CAUTI,2013,19-64,292,18,6.2,3.8,9.3
E.coli MDR,Mountain,CAUTI,2013,65+,272,16,5.9,3.5,9.1
E.coli MDR,Mountain,CAUTI,2013,All Ages,579,35,6,4.3,8.2
E.coli MDR,Mountain,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CAUTI,2014,19-64,276,19,6.9,4.3,10.3
E.coli MDR,Mountain,CAUTI,2014,65+,284,21,7.4,4.7,10.8
E.coli MDR,Mountain,CAUTI,2014,All Ages,571,41,7.2,5.2,9.5
E.coli MDR,Mountain,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CAUTI,All Years, 1-18,43,2,4.7,0.7,14.5
E.coli MDR,Mountain,CAUTI,All Years,19-64,958,67,7,5.5,8.7
E.coli MDR,Mountain,CAUTI,All Years,65+,941,75,8,6.3,9.8
E.coli MDR,Mountain,CAUTI,All Years,All Ages,1948,144,7.4,6.2,8.6
E.coli MDR,Mountain,CLABSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CLABSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
E.coli MDR,Mountain,CLABSI,2011,19-64,23,8,34.8,17.6,55.5
E.coli MDR,Mountain,CLABSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CLABSI,2011,All Ages,42,10,23.8,12.7,38.3
E.coli MDR,Mountain,CLABSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CLABSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CLABSI,2012,19-64,24,6,25,10.8,44.9
E.coli MDR,Mountain,CLABSI,2012,65+,22,4,18.2,6,38.2
E.coli MDR,Mountain,CLABSI,2012,All Ages,64,10,15.6,8.2,26
E.coli MDR,Mountain,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CLABSI,2013,19-64,39,10,25.6,13.8,40.9
E.coli MDR,Mountain,CLABSI,2013,65+,28,6,21.4,9.1,39.3
E.coli MDR,Mountain,CLABSI,2013,All Ages,89,18,20.2,12.8,29.5
E.coli MDR,Mountain,CLABSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CLABSI,2014,19-64,51,10,19.6,10.4,32.1
E.coli MDR,Mountain,CLABSI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,CLABSI,2014,All Ages,84,12,14.3,7.9,23
E.coli MDR,Mountain,CLABSI,All Years,<1,42,2,4.8,0.8,14.8
E.coli MDR,Mountain,CLABSI,All Years, 1-18,27,0,0,0,10.5
E.coli MDR,Mountain,CLABSI,All Years,19-64,137,34,24.8,18.1,32.5
E.coli MDR,Mountain,CLABSI,All Years,65+,73,14,19.2,11.3,29.4
E.coli MDR,Mountain,CLABSI,All Years,All Ages,279,50,17.9,13.7,22.7
E.coli MDR,Mountain,SSI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
E.coli MDR,Mountain,SSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
E.coli MDR,Mountain,SSI,2011,19-64,27,0,0,0,10.5
E.coli MDR,Mountain,SSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,SSI,2011,All Ages,43,0,0,0,6.7
E.coli MDR,Mountain,SSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,SSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,SSI,2012,19-64,120,4,3.3,1,7.8
E.coli MDR,Mountain,SSI,2012,65+,73,4,5.5,1.7,12.6
E.coli MDR,Mountain,SSI,2012,All Ages,197,9,4.6,2.2,8.2
E.coli MDR,Mountain,SSI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
E.coli MDR,Mountain,SSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,SSI,2013,19-64,165,8,4.8,2.2,8.9
E.coli MDR,Mountain,SSI,2013,65+,84,6,7.1,2.9,14.2
E.coli MDR,Mountain,SSI,2013,All Ages,254,14,5.5,3.1,8.8
E.coli MDR,Mountain,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,SSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,SSI,2014,19-64,175,7,4,1.7,7.7
E.coli MDR,Mountain,SSI,2014,65+,93,5,5.4,1.9,11.5
E.coli MDR,Mountain,SSI,2014,All Ages,276,12,4.3,2.3,7.2
E.coli MDR,Mountain,SSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,SSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,Mountain,SSI,All Years,19-64,487,19,3.9,2.4,5.9
E.coli MDR,Mountain,SSI,All Years,65+,266,15,5.6,3.3,8.9
E.coli MDR,Mountain,SSI,All Years,All Ages,770,35,4.5,3.2,6.1
E.coli MDR,New_England,All HAIs,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,All HAIs,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,All HAIs,2011,19-64,89,2,2.2,0.3,7.2
E.coli MDR,New_England,All HAIs,2011,65+,79,5,6.3,2.3,13.4
E.coli MDR,New_England,All HAIs,2011,All Ages,186,7,3.8,1.6,7.3
E.coli MDR,New_England,All HAIs,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,All HAIs,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,All HAIs,2012,19-64,362,23,6.4,4.1,9.2
E.coli MDR,New_England,All HAIs,2012,65+,375,17,4.5,2.7,7
E.coli MDR,New_England,All HAIs,2012,All Ages,756,42,5.6,4,7.3
E.coli MDR,New_England,All HAIs,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,All HAIs,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,All HAIs,2013,19-64,366,24,6.6,4.3,9.4
E.coli MDR,New_England,All HAIs,2013,65+,335,20,6,3.7,8.9
E.coli MDR,New_England,All HAIs,2013,All Ages,718,44,6.1,4.5,8
E.coli MDR,New_England,All HAIs,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,All HAIs,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,All HAIs,2014,19-64,360,28,7.8,5.3,10.8
E.coli MDR,New_England,All HAIs,2014,65+,356,23,6.5,4.2,9.3
E.coli MDR,New_England,All HAIs,2014,All Ages,733,52,7.1,5.3,9.1
E.coli MDR,New_England,All HAIs,All Years,<1,35,0,0,0,8.2
E.coli MDR,New_England,All HAIs,All Years, 1-18,36,3,8.3,2.1,21
E.coli MDR,New_England,All HAIs,All Years,19-64,1177,77,6.5,5.2,8
E.coli MDR,New_England,All HAIs,All Years,65+,1145,65,5.7,4.4,7.1
E.coli MDR,New_England,All HAIs,All Years,All Ages,2393,145,6.1,5.1,7
E.coli MDR,New_England,CAUTI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CAUTI,2011,19-64,53,2,3.8,0.6,11.9
E.coli MDR,New_England,CAUTI,2011,65+,56,3,5.4,1.3,13.8
E.coli MDR,New_England,CAUTI,2011,All Ages,117,5,4.3,1.5,9.2
E.coli MDR,New_England,CAUTI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CAUTI,2012,19-64,202,7,3.5,1.5,6.7
E.coli MDR,New_England,CAUTI,2012,65+,255,10,3.9,2,6.8
E.coli MDR,New_England,CAUTI,2012,All Ages,464,17,3.7,2.2,5.6
E.coli MDR,New_England,CAUTI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CAUTI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CAUTI,2013,19-64,197,16,8.1,4.8,12.5
E.coli MDR,New_England,CAUTI,2013,65+,223,15,6.7,3.9,10.6
E.coli MDR,New_England,CAUTI,2013,All Ages,425,31,7.3,5,10
E.coli MDR,New_England,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CAUTI,2014,19-64,171,15,8.8,5.1,13.7
E.coli MDR,New_England,CAUTI,2014,65+,210,13,6.2,3.4,10
E.coli MDR,New_England,CAUTI,2014,All Ages,393,29,7.4,5,10.2
E.coli MDR,New_England,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CAUTI,All Years, 1-18,24,1,4.2,0.2,18.8
E.coli MDR,New_England,CAUTI,All Years,19-64,623,40,6.4,4.6,8.5
E.coli MDR,New_England,CAUTI,All Years,65+,744,41,5.5,4,7.3
E.coli MDR,New_England,CAUTI,All Years,All Ages,1399,82,5.9,4.7,7.1
E.coli MDR,New_England,CLABSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CLABSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
E.coli MDR,New_England,CLABSI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CLABSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CLABSI,2011,All Ages,33,1,3,0.1,14
E.coli MDR,New_England,CLABSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CLABSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CLABSI,2012,19-64,30,7,23.3,10.8,40.7
E.coli MDR,New_England,CLABSI,2012,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CLABSI,2012,All Ages,51,10,19.6,10.4,32.1
E.coli MDR,New_England,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CLABSI,2013,19-64,20,3,15,3.9,35.6
E.coli MDR,New_England,CLABSI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CLABSI,2013,All Ages,50,7,14,6.3,25.7
E.coli MDR,New_England,CLABSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CLABSI,2014, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
E.coli MDR,New_England,CLABSI,2014,19-64,27,5,18.5,7.1,36.3
E.coli MDR,New_England,CLABSI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
E.coli MDR,New_England,CLABSI,2014,All Ages,46,7,15.2,6.9,27.7
E.coli MDR,New_England,CLABSI,All Years,<1,26,0,0,0,10.8
E.coli MDR,New_England,CLABSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
